"decision_id","decision_summary","requirement_ids","claim_ledger_ids","brand_artifacts","strategy_effect","open_gate"
"D-014","Azure-managed target PostgreSQL truth and immutable delivery","DATA-001;DATA-002;OPS-010;OPS-012","","03-BRAND_STRATEGY.md;06-reference-accessibility-and-implementation.md","Brand avoids provider-led public positioning and treats operational targets as future evidence not assurance.","Architecture deployment and evidence gates"
"D-015","Approved-knowledge Azure and NVIDIA AI routing","AI-001;AI-002;AI-003;AI-004;AI-005;AI-006;AI-007;AI-008","ECL-030","03-BRAND_STRATEGY.md;04-messaging-architecture.md;05-naming-claims-and-terminology.md","Voice calibrates uncertainty; AI names itself cites sources refuses unsupported commitments and is not claimed operational.","MA-005 MA-007 security privacy capability and release approval"
"D-016","Anonymous AI explicit human availability and booking","FR-005;FR-006;FR-007;FR-008;FR-009;FR-010;FR-011;FR-019","ECL-028;ECL-029;ECL-030","04-messaging-architecture.md;05-naming-claims-and-terminology.md","Direct booking optional help honest availability and nonbinding AI/human language shape contact and book messages.","MA-006 assigns verified contacts owners mailbox and availability policy"
"D-017","Consent retention deletion no training and aggregate analytics","DATA-003;DATA-004;DATA-005;DATA-006;DATA-007;DATA-008;DATA-009;SEC-009","ECL-016;ECL-025;ECL-028;ECL-030;ECL-031","04-messaging-architecture.md;05-naming-claims-and-terminology.md","Privacy consent and trust language stays precise; no assurance or defense claim; essential paths collect no unnecessary data.","MA-002 MA-011 and independent legal privacy security review"
"D-018","Entra roles break-glass secure sessions and security controls","SEC-001;SEC-002;SEC-003;SEC-004;SEC-005;SEC-006;SEC-007;SEC-008;SEC-009;SEC-010","ECL-031","03-BRAND_STRATEGY.md;04-messaging-architecture.md;05-naming-claims-and-terminology.md","Security requirements cannot become certification compliance or current assurance copy without evidence.","Independent security evidence and founder publication approval"
"D-019","Atomic publication and draft isolation","PUB-001;PUB-002;PUB-003;PUB-004;PUB-005;PUB-006;PUB-007","ECL-007;ECL-008;ECL-009;ECL-010;ECL-011;ECL-012;ECL-013;ECL-018;ECL-019;ECL-023;ECL-032;ECL-033","03-BRAND_STRATEGY.md;04-messaging-architecture.md;05-naming-claims-and-terminology.md","One evidence status and message meaning must stay aligned across semantic immersive AI metadata schema and social surfaces.","Per-release specialist review and founder approval"
"D-020","Performance availability recovery and qualified outcomes","NFR-001;NFR-002;NFR-003;NFR-004;NFR-005;NFR-006;NFR-007;DATA-008","ECL-021;ECL-031","03-BRAND_STRATEGY.md;05-naming-claims-and-terminology.md;06-reference-accessibility-and-implementation.md","Targets are not current performance or assurance claims; recovery and path parity express the brand only after testing.","Later QA deployment accessibility and founder risk review"
"D-021","Dependency governance SBOM licenses and canaries","OPS-006;OPS-007;OPS-012;OPS-013","","06-reference-accessibility-and-implementation.md","Strategy adds no dependency claim; media and experience provenance remain evidence requirements.","Compatibility supply-chain and deployment review"
"D-022","Paid external actions and credentials separately gated","SEC-008;OPS-014","ECL-005;ECL-013;ECL-016;ECL-022;ECL-025","README.md;05-naming-claims-and-terminology.md","No external write publication paid activation credential legal fact or asset reuse is authorized.","Each manual action and spending gate remains"
"D-023","Phases zero through nine execute in order","BR-012;OPS-009;OPS-015","","README.md;producer-inspection.md","Brand strategy is a bounded Phase 1 slice and does not open identity implementation or later phases.","Clean independent review and explicit founder approval of the chosen reconciled strategy precede identity; complete Phase 1 gate remains"
"D-024","Phase 0 accepted and Phase 1 definition opened","OPS-003;OPS-015","","README.md;producer-inspection.md","Only bounded strategy documentation validation and inspection are performed.","No application publication Git or deployment authority"
"D-025","Foundation accepted and industries hub retained","BR-001;BR-002;BR-003;BR-004;BR-005;BR-006;BR-007;BR-008;BR-009;BR-010;BR-011;BR-012;SEO-004","ECL-001;ECL-002;ECL-003;ECL-004;ECL-006;ECL-025;ECL-027;ECL-032;ECL-033","README.md;01-audience-and-buying-context.md;02-strategic-directions.md;03-BRAND_STRATEGY.md;04-messaging-architecture.md;05-naming-claims-and-terminology.md","Accepted audience route proof conversion and industries decisions are controlling inputs; /industries is no longer treated as founder-pending in strategy.","Brand direction remains separate: A approval follows clean review; B or C preference requires reconciliation revalidation and new review; complete Phase 1 remains gated"
