"decision_id","decision_summary","requirement_ids","strategy_source","identity_artifacts","identity_effect","remaining_gate"
"D-016","Anonymous help, explicit human availability, and booking","FR-005;FR-008;FR-009;FR-010;FR-011;FR-019","04-messaging-architecture.md;05-naming-claims-and-terminology.md","05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md","Icons and copy require honest AI/human availability; direct booking remains independent.","MA-006 and later help/booking capability evidence"
"D-017","Consent, retention, deletion, no training, aggregate analytics","DATA-003;DATA-004;DATA-005;DATA-006;DATA-007;DATA-008;DATA-009;SEC-009","04-messaging-architecture.md;05-naming-claims-and-terminology.md","05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md","Identity avoids privacy assurance and defines only transparent consent/status/media treatment.","MA-002 and independent legal/privacy/security review"
"D-018","Entra roles, break-glass, secure sessions and controls","SEC-001;SEC-002;SEC-003;SEC-004;SEC-005;SEC-006;SEC-007;SEC-008;SEC-009;SEC-010","03-BRAND_STRATEGY.md;05-naming-claims-and-terminology.md","04-color-and-typography.md;07-accessibility-seo-and-applications.md","Trust/status visuals cannot turn requirements into certification, compliance, or current security assurance.","Independent security evidence and founder publication approval"
"D-019","Atomic publication and draft isolation","PUB-001;PUB-002;PUB-003;PUB-004;PUB-005;PUB-006;PUB-007","03-BRAND_STRATEGY.md;04-messaging-architecture.md","05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md;asset-manifest.json","Media, social, semantic, immersive, and evidence states require one approved release and fail closed.","Per-release specialist review and founder approval"
"D-020","Performance, availability, recovery, and measured targets","NFR-001;NFR-002;NFR-003;NFR-004;NFR-005;NFR-006;NFR-007","03-BRAND_STRATEGY.md;06-reference-accessibility-and-implementation.md","06-motion-sound-and-3d.md;07-accessibility-seo-and-applications.md","Identity preserves lightweight Quick Access and labels targets as targets rather than achievements.","Later QA, performance, recovery, and deployment evidence"
"D-021","Dependency governance, SBOM, licenses, and canaries","OPS-006;OPS-007;OPS-012;OPS-013","06-reference-accessibility-and-implementation.md","04-color-and-typography.md;asset-manifest.json","No dependency or font asset is added; all local assets have provenance, status, and checksum.","Later supply-chain and release review"
"D-022","Paid and external actions separately gated","SEC-008;OPS-014","README.md;05-naming-claims-and-terminology.md","README.md;04-color-and-typography.md;05-imagery-iconography-and-data.md;handoff.md","No paid font/asset, generation, external write, credential, upload, or publication is performed.","Each paid/external action requires approval"
"D-023","Phases execute in approved order","BR-012;OPS-009;OPS-015","README.md;producer-inspection.md","README.md;producer-inspection.md;handoff.md","Identity is a bounded Phase 1 slice and opens no later phase.","Complete Phase 1 founder acceptance"
"D-024","Phase 0 accepted and Phase 1 definition opened","OPS-003;OPS-015","README.md","README.md;producer-inspection.md","Only project-scoped identity definition and validation evidence are created.","No application, Git, publication, or deployment authority"
"D-025","Foundation accepted and industries retained","BR-001;BR-002;BR-003;BR-005;BR-006;BR-007;BR-008;SEO-004","README.md;03-BRAND_STRATEGY.md","README.md;05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md","Accepted audience, routes, proof, service, and sector boundaries control the identity.","Complete Phase 1 and per-content gates remain"
"D-026","Evidence in Motion strategy approved","BR-006;BR-007;UX-001;UX-002;UX-004;UX-007","02-strategic-directions.md;03-BRAND_STRATEGY.md;06-reference-accessibility-and-implementation.md","BRAND_IDENTITY.md;01-identity-principles.md;02-visual-directions.md;04-color-and-typography.md;05-imagery-iconography-and-data.md;06-motion-sound-and-3d.md","The complete Signal Ledger identity system remains the Evidence in Motion expression; category and promise remain exact.","Independent review, founder identity selection, and trademark clearance"
"D-027","Retain Signal Ledger system and replace rejected logo with reconciled Quiet Framework-derived family","BR-006;BR-008;SEO-009;UX-001;UX-002;OPS-001;OPS-002;OPS-003;OPS-015","DECISIONS.md;docs/decisions-log/README.md;docs/change-requests/CR-001-brand-logo-hybrid.md","02-visual-directions.md;03-logo-system.md;BRAND_IDENTITY.md;geometry-spec.json;semantic-tokens.json;visual-boards/index.html;archive/iteration-2-signal-ledger-logo/baseline-inventory.json","Framework Relay derives from open Quiet Framework modules and integrates a non-diagonal stepped Signal Ledger relay; the old logo is archived and not current.","Independent iteration-3 review, exact founder selection, trademark clearance, and publication approval"
"CR-001","Final bounded hybrid identity revision and protected iteration-2 baseline","BR-006;BR-008;SEO-009;UX-001;UX-002;OPS-001;OPS-002;OPS-003;OPS-015","docs/change-requests/CR-001-brand-logo-hybrid.md","README.md;handoff.md;producer-inspection.md;validation/validate-brand-identity.ps1;archive/iteration-2-signal-ledger-logo/README.md;archive/iteration-2-signal-ledger-logo/baseline-inventory.json","Producer iteration 3 of 3 preserves prior review evidence, closes R-020 with direct labels, and presents one current hybrid without an A/B/C selection gate.","No iteration 4; non-pass review requires recorded findings and founder decision"
