"rule_id","category","requirement","applies_to","verification_method"
"EC-20","export","PNG exports at fixed 2x scale and SVG at 1x with fixed background and no ad-hoc cropping","all_batches","Validator checks export_scale uniformity per evidence_type"
"EC-21","export","Every exported file is hashed uppercase SHA-256 and recorded in the batch manifest","all_batches","Validator recomputes each file hash and compares"
"EC-22","export","The batch manifest is hashed with the D-037 freeze algorithm ordinal-sorted forward-slash paths uppercase hash two spaces path LF joined no terminal newline UTF-8 without BOM","all_batches","Validator recomputes the manifest freeze hash"
"EC-23","export","Exports are regenerated never hand-edited","all_batches","Hash mismatch against a fresh export voids the artifact"
"EC-24","export","Editor chrome screenshots are not evidence","all_batches","Independent design review rejects chrome screenshots"
"EC-25","inventory","Record the file key and the page and frame inventory without credentials","all_batches","Validator credential scan plus presence of inventory JSON"
"EC-26","credential","No credential-shaped string appears in any export filename manifest field inventory JSON or annotation","all_batches","Validator credential-pattern scan over the evidence tree"
"EC-27","claim","No export may be captioned or described as a rendered product a live page a test result an accessibility audit a conformance statement or approved public content","all_batches","Validator unsupported-claim scan plus both independent reviews"
"EC-28","checkpoint","Create a named _PRE version and export its archive before the first write of a batch","all_batches","Validator requires the _PRE archive and its hash in the manifest"
"EC-29","checkpoint","Create a named _EXIT version and export its archive at batch exit","all_batches","Validator requires the _EXIT archive and its hash in the manifest"
"EC-30","immutability","Accepted batch evidence is never overwritten in place. Append-only identity is the FULL evidence_id including <STREAM>, so one template captured in S-HIGH and in S-SEMANTIC is two artifacts rather than an illegal overwrite","all_batches","Evidence directories are append-only; corrections create a new V<NN> within the same lineage tuple"
"EC-31","coverage","Every (template, stream-critical coordinate, stream) triple obliged by the batch has a resolving manifest row, or a stream_disposition entry naming the batch that produces it. Producing a batch in one stream does not discharge it","all_batches","Validator resolves obliged triples against manifest rows by stream_id (A-14)"
"EC-32","naming","Exactly one stream per manifest row. stream_id is mandatory, single-valued, and drawn from S-HIGH, S-MEDIUM, S-LOW, S-SEMANTIC. Empty is illegal and multi-valued is illegal, and stream_id must agree with the <STREAM> segment of the row evidence_id","all_batches","Validator checks presence, cardinality, vocabulary and agreement (A-12, A-15)"
"EC-33","deferral","A stream a batch does not produce is recorded in stream_disposition as deferred_<BATCH_ID> naming the batch that does produce it, or as not_present validated against the computed union of template presence. Silence is inexpressible, mirroring EC-14","all_batches","Validator resolves every disposition key and value (A-13)"
