"template_id","template_name","surface_kind","reuse_scope","representative_instance","state_profile","viewport_profile","mode_profile","baseline_frame_name","minimum_reference_evidence","interaction_focus_notes","content_stress_case","primitive_dependencies","gated_inputs","browser_profile","time_limit_branch"
"TPL-INSIGHT-COLLECTION","Insights collection","route_template","ROUTE-INSIGHTS","INST-ROUTE-INSIGHTS","SP-EVIDENCE-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_INSIGHT_COLLECTION_REF_STATE_EMPTY_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Honest-empty/held and six-item structural frames; derived-index failure; desktop/320","Collection heading/search/browse; item canonical link; related service/Book; no thin-card interaction","Six cornerstone placeholders marked non-public; long article title/reviewer/source; no named person","PRIM-001;PRIM-007;PRIM-009;PRIM-010;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-061","Briefs authors reviewers sources media rights content and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-INSIGHT-DETAIL","Insight/article reading pattern","route_template","ROUTE-INSIGHT-DETAIL pattern","INST-ROUTE-INSIGHT-DETAIL","SP-EVIDENCE-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_INSIGHT_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Long-form 320/desktop/print frames; held/source/media/checksum variants; route sheet","Heading/source hierarchy; named-reviewer slot held; footnote/link focus; media/transcript alternative; Book proportionate","Long title/deck/body/source names; tables/charts; absent reviewer/media; 45-75 character line target","PRIM-001;PRIM-003;PRIM-007;PRIM-011;PRIM-014;PRIM-016;PRIM-045;PRIM-057;PRIM-058;PRIM-059;PRIM-060;PRIM-061","Article copy author/reviewer sources date media and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-EXPERT-COLLECTION","Experts collection","route_template","ROUTE-EXPERTS","INST-ROUTE-EXPERTS","SP-EVIDENCE-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_EXPERT_COLLECTION_REF_STATE_EMPTY_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Honest-empty/held frames; anonymous structural populated variant prohibited from looking real; desktop/320","Collection heading/state/next path; profile links only when verified; no portrait dependency","No verified person; long role/qualification structural labels; image absent","PRIM-001;PRIM-007;PRIM-009;PRIM-010;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-061","Identity biography credentials consent portrait rights and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-EXPERT-DETAIL","Expert profile pattern","route_template","ROUTE-EXPERT-DETAIL pattern","INST-ROUTE-EXPERT-DETAIL","SP-EVIDENCE-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_EXPERT_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held profile frame; missing portrait; long qualification/source layout; print and route sheet","Identity state precedes biography; sources/related content/Book; image absence never removes text","Anonymous structural labels only; long role/qualification/source; no invented quote or availability","PRIM-001;PRIM-003;PRIM-007;PRIM-011;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-061","Person identity role biography credential consent portrait rights and approval","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-TRUST-COLLECTION","Trust Center collection","route_template","ROUTE-TRUST","INST-ROUTE-TRUST","SP-EVIDENCE-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_TRUST_COLLECTION_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held/empty and structural populated frames; requirement/control/evidence/limitation comparison; desktop/320","Topic canonical links; state/status announced; related service/Contact/Book; no shield-only assurance","Long control scope/date/source/limitation; no certification; unavailable evidence; table/list parity","PRIM-001;PRIM-007;PRIM-009;PRIM-010;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-060;PRIM-061","Implemented controls evidence owner review date legal/security approval and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-TRUST-DETAIL","Trust topic detail pattern","route_template","ROUTE-TRUST-DETAIL pattern","INST-ROUTE-TRUST-DETAIL","SP-EVIDENCE-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_TRUST_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held and proposed/implemented/test/limitation variants; source/checksum/error; print and route sheet","State labels read before detail; source/review date; related service/Contact/Book; no target-as-proof","Long policy/control/test/limitation; unavailable owner/date; data table and print","PRIM-001;PRIM-003;PRIM-007;PRIM-011;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-059;PRIM-060;PRIM-061","Exact policy controls assurances sources ownership reviews legal copy and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-PUBLIC-ABOUT","About operating approach and attribution","route_template","ROUTE-ABOUT;ROUTE-CREDITS","INST-ROUTE-ABOUT","SP-PUBLIC-DOCUMENT","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B02_TPL_PUBLIC_ABOUT_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held-fact and approved-direction frames; missing person/image; desktop/320/print; route sheet","Full-name entity heading; Services/Trust/Contact/Book; status/limitations in reading order; on the attribution instance a marked-up repeating list of asset author source link and licence identifier with per-entry language marking and in-context link purpose, plus a return to the invoking route","No legal entity history size office customer award person or portrait; long operating explanation; long dense attribution list with author names not in the page language","PRIM-001;PRIM-003;PRIM-007;PRIM-011;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-062","Legal/entity/person/history/location copy facts assets rights and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-PUBLIC-CONTACT","Contact route and help choices","route_template","ROUTE-CONTACT and CF-01","INST-ROUTE-CONTACT","SP-CONTACT","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B05_TPL_PUBLIC_CONTACT_REF_STATE_CHANNELS_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held channels plus form validation/pending/failed/duplicate/offline variants; desktop/320/landscape","Error summary focus; field associations; one idempotent submit; verified alternative/Book; no response promise","No real/example address/phone/person; long purpose/privacy text; multiple field errors","PRIM-001;PRIM-014;PRIM-018;PRIM-019;PRIM-021;PRIM-022;PRIM-023;PRIM-024;PRIM-038;PRIM-057;PRIM-058;PRIM-062","Verified channels fields exact consent/privacy copy owner routing retention and SLA","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-BOOKING-SHELL","Booking route shell and progress","route_template","ROUTE-BOOK and BF-01","INST-ROUTE-BOOK","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B06_TPL_BOOKING_SHELL_REF_STATE_BOOKING_STARTED_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Progress/shell at all lineage milestones; full desktop/320/landscape frames for start review pending confirmed and recovery","Current step and authoritative state announced; back/refresh/tabs retain one lineage; Book is non-WebGL and no prior help required","Exact six fields plus consent; optional budget; long timezone/outcome; no name/phone/account/upload","PRIM-001;PRIM-003;PRIM-014;PRIM-018;PRIM-021;PRIM-023;PRIM-032;PRIM-036;PRIM-037;PRIM-057;PRIM-058","Exact consent copy challenge/provider policies owner/mailbox availability and record retention","BP-NFR-006","TL-WARN-EXTEND"
"TPL-GLOBAL-NAVIGATION","Global navigation and canonical location","flow_template","All public route families and ACT-01/02","FLOW-NAVIGATION-SEARCH","SP-NAVIGATION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B01_TPL_GLOBAL_NAVIGATION_REF_STATE_OPEN_VP_320_MODE_KEYBOARD_STREAM_SEMANTIC_V01","Wide inline and narrow disclosure; current route; breadcrumb; no-script links; offline/404/410 status","Skip link; open/close focus entry/return; Book access; visible current item; pointer-up cancellation","All destination labels and longest breadcrumb; 320/400% wrapping; missing logo/font","PRIM-001;PRIM-002;PRIM-003;PRIM-014;PRIM-016;PRIM-017;PRIM-057;PRIM-058;PRIM-062","Final navigation copy and route activation","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-DIRECTORY-SEARCH","Directory search and result list","flow_template","DF-01 ACT-03/04/05 and EXCL-INTERNAL-SEARCH","FLOW-NAVIGATION-SEARCH","SP-NAVIGATION","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B01_TPL_DIRECTORY_SEARCH_REF_STATE_NO_RESULTS_VP_320_MODE_KEYBOARD_STREAM_SEMANTIC_V01","Browse/empty-query/results/no-results/loading/index-failure/offline frames; static fallback; clean result destinations","Input label/clear/close; modal or nonmodal focus contract; result link semantics; invoker focus return","All route-family labels; long result/source/state; zero and many results; raw query never in analytics","PRIM-001;PRIM-004;PRIM-005;PRIM-019;PRIM-020;PRIM-040;PRIM-043;PRIM-057;PRIM-058;PRIM-061","Search provider ranking query taxonomy and any URL-backed state","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-FIRST-VISIT","First-visit World choice","flow_template","FV-01 and ACT-06/07/09/10/11","FLOW-FIRST-VISIT","SP-FIRST-VISIT","VP-WORLD","MP-WORLD","HSD_UIR_B07_TPL_FIRST_VISIT_REF_STATE_WORLD_CHOICE_VP_320_MODE_KEYBOARD_STREAM_HIGH_V01","Semantic no-gate proof and World choice with standard/reduced/low/skip/Quick Access/persistence-failure variants","Focus at heading/location; audio off; controls explained before commitment; choice is not analytics/chat consent","Full control labels and descriptions; narrow/landscape; unavailable icon/font; preference-write failure","PRIM-014;PRIM-017;PRIM-039;PRIM-042;PRIM-043;PRIM-044;PRIM-057;PRIM-058","Exact preference persistence policy and final onboarding copy","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"TPL-RETURN-VISIT","Return-visit choice and saved-location recovery","flow_template","RV-01 and ACT-40","FLOW-RETURN-VISIT","SP-RETURN-VISIT","VP-WORLD","MP-WORLD","HSD_UIR_B07_TPL_RETURN_VISIT_REF_STATE_RESUME_OFFERED_VP_320_MODE_KEYBOARD_STREAM_HIGH_V01","Valid Resume/Reception/Replay/Quick Access frame; stale/closed/retired/checksum and cleared variants","Saved public location named without identity inference; focus and status; clearing preferences is safe","Longest public location; stale/retired status; missing local storage; no retained PII/chat/form implication","PRIM-017;PRIM-039;PRIM-040;PRIM-042;PRIM-044;PRIM-057;PRIM-058","Preference storage policy exact copy and active destination","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-WORLD-SHELL","World stream onboarding loader Reception and room state","flow_template","J-02 ACT-06/07/08 and EXCL-WORLD","FLOW-WORLD-HUD-STREAM","SP-WORLD","VP-WORLD","MP-WORLD","HSD_UIR_B07_TPL_WORLD_SHELL_REF_STATE_RECEPTION_VP_DESKTOP_MODE_STANDARD_STREAM_HIGH_V01","Onboarding/loader/Reception/transition/closed/held/opening/open/error; paired Quick Access at critical states. Relocated here under N-03 from the DS-S-* stream profiles because these obligations name things only this template contains: Reception and one open room at VP-320 and VP-DESKTOP in each stream in presence(T); keyboard focus frame on a hotspot; explicit proof in S-LOW that every hotspot and destination present in S-HIGH is present here","DOM state labels and controls; no WASD requirement; point/click has keyboard equivalent; location announced","All 15 formal/concise names; long location; empty/closed rooms; asset and context loss","PRIM-006;PRIM-008;PRIM-012;PRIM-039;PRIM-041;PRIM-042;PRIM-043;PRIM-044;PRIM-057;PRIM-058","3D storyboard geometry assets performance targets copy and release activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"TPL-WORLD-HUD","World HUD and directory overlay","flow_template","DF-01 ACT-03/05/09/10/11/12","FLOW-WORLD-HUD-STREAM","SP-WORLD","VP-WORLD","MP-WORLD","HSD_UIR_B07_TPL_WORLD_HUD_REF_STATE_OPEN_VP_LANDSCAPE_MODE_KEYBOARD_STREAM_HIGH_V01","HUD desktop/mobile-landscape/320/400%; directory open; audio/delivery stream/accessibility states; mapping failure. Relocated here under N-03 from the DS-S-* stream profiles: screen-reader annotation of the HUD in each stream in presence(T); contrast measured against this stream's own scene and never inherited from another stream","Persistent location/directory/Quick Access/Book/accessibility/delivery stream/audio/Exit; focus return; no canvas-only control","Longest formal title/location; all controls at 400%; missing icons; closed room and delivery stream change","PRIM-004;PRIM-005;PRIM-008;PRIM-017;PRIM-040;PRIM-041;PRIM-043;PRIM-044;PRIM-057;PRIM-058","3D implementation exact tiers audio copy route mappings and active room state","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"TPL-QUICK-ACCESS-RECOVERY","Quick Access and system recovery","flow_template","J-01/J-02 DF-01 and shared failures","FLOW-ERROR-OFFLINE-RECOVERY","SP-SYSTEM-RECOVERY","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B07_TPL_QUICK_ACCESS_RECOVERY_REF_STATE_ASSET_FAILURE_VP_320_MODE_SEMANTIC_SHELL_STREAM_SEMANTIC_V01","Loading/degraded/offline/error/asset/checksum/permission/session recovery on representative public and World hosts","Focus on changed heading only; preserve prior truth/context; smallest safe action; direct Book and directory","Long failure/preservation/recovery text; no provider internals; missing all decorative assets","PRIM-001;PRIM-006;PRIM-014;PRIM-016;PRIM-044;PRIM-057;PRIM-058","Exact error copy cache policy retry rules verified Contact and implementation behavior","BP-NFR-006","TL-WARN-EXTEND"
"TPL-AI-CONCIERGE","Reception AI Concierge","flow_template","J-05 AF-01 ACT-14/15/16/17","FLOW-AI","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B05_TPL_AI_CONCIERGE_REF_STATE_CANNOT_VERIFY_VP_320_MODE_SCREEN_READER_STREAM_SEMANTIC_V01","Consent/ephemeral/consented connecting/sourced/cannot-verify/refusal/unavailable/resume/expired/human/Book frames","AI identity first; source list in reading order; send pending deduplicated; transcript focus stable; Book always reachable","Long answer and source titles; no sources; refusal; expired session; provider unavailable; no upload/media/account","PRIM-001;PRIM-014;PRIM-015;PRIM-018;PRIM-019;PRIM-021;PRIM-024;PRIM-025;PRIM-026;PRIM-027;PRIM-028;PRIM-043;PRIM-057;PRIM-058","Consent/refusal legal copy provider policy grounding bundle and operational capability","BP-NFR-006","TL-WARN-EXTEND"
"TPL-HUMAN-HANDOFF","Human availability handoff and text conversation","flow_template","J-05 AF-02 ACT-18/44/45/46","FLOW-HUMAN-HANDOFF","SP-HANDOFF-MEDIA","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B05_TPL_HUMAN_HANDOFF_REF_STATE_STAFF_UNAVAILABLE_VP_320_MODE_SCREEN_READER_STREAM_SEMANTIC_V01","Not-offered/offered/requested/pending/queued/accepted/text-active/ended/unavailable/alert-failed/expired/declined states","Explicit availability and share-purpose; durable request status; no duplicate; text and Book remain; staff/visitor views paired","Long availability/purpose/status; owner absent; alert failure; no response promise; no media dependency","PRIM-001;PRIM-014;PRIM-015;PRIM-024;PRIM-029;PRIM-030;PRIM-043;PRIM-057;PRIM-058","Named staff owners backups availability policy consent routing escalation and SLA","BP-NFR-006","TL-WARN-EXTEND"
"TPL-MEDIA-OPT-IN","Voice/video opt-in and media alternatives","flow_template","AF-02 ACT-19 and media states","FLOW-MEDIA-OPT-IN","SP-HANDOFF-MEDIA","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B05_TPL_MEDIA_OPT_IN_REF_STATE_MEDIA_OPT_IN_VP_320_MODE_KEYBOARD_STREAM_SEMANTIC_V01","Opt-in/permission/active/declined/denied/unsupported/failure and held-alternative frames; text/Book recovery","No media before explicit choice; accessible permission guidance; mute/captions/transcript/description routes; no re-prompt loop","Long captions/transcript; denied device; absent rights/alternatives; text-only equivalent","PRIM-001;PRIM-015;PRIM-017;PRIM-031;PRIM-043;PRIM-045;PRIM-057;PRIM-058","Provider device policy media rights captions transcript description applicability and live capability","BP-NFR-006","TL-WARN-EXTEND"
"TPL-BOOKING-QUALIFICATION","Booking qualification","flow_template","BF-01A ACT-20/21","FLOW-BOOKING-LINEAGE","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B06_TPL_BOOKING_QUALIFICATION_REF_STATE_VALIDATION_ERROR_VP_320_MODE_KEYBOARD_STREAM_SEMANTIC_V01","Blank/filled/validation/consent-declined/qualification-complete/offline frames; error summary; review/edit","Error summary focus and linked fields; six exact data fields plus separate consent; budget optional; preserved values","Long organization/role/outcome/timing; multiple errors; optional budget omitted; no name/phone/account/upload","PRIM-001;PRIM-014;PRIM-015;PRIM-018;PRIM-019;PRIM-020;PRIM-021;PRIM-022;PRIM-023;PRIM-024;PRIM-032;PRIM-043;PRIM-057;PRIM-058","Exact consent/legal copy field limits persistence and data classification","BP-NFR-006","TL-WARN-EXTEND"
"TPL-BOOKING-VERIFICATION","Email ownership verification","flow_template","BF-01B ACT-22/23/24/25","FLOW-BOOKING-LINEAGE","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B06_TPL_BOOKING_VERIFICATION_REF_STATE_EMAIL_PENDING_VP_320_MODE_SCREEN_READER_STREAM_SEMANTIC_V01","Not-issued/unknown/pending/expired/undeliverable/corrected/resend-limited/verified frames; same-lineage annotation","Accessible authentication allows paste/assistive mechanisms; status announced; no slot before verified; safe resend/change address","Masked destination only if allowed; long bounded guidance; invalid address; provider/Redis unavailable","PRIM-001;PRIM-015;PRIM-018;PRIM-019;PRIM-022;PRIM-023;PRIM-032;PRIM-033;PRIM-043;PRIM-057;PRIM-058","Challenge method expiry resend rate limits masking provider security and support","BP-NFR-006","TL-WARN-EXTEND"
"TPL-BOOKING-AVAILABILITY","Booking availability slot and review","flow_template","BF-01C ACT-26/27","FLOW-BOOKING-LINEAGE","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B06_TPL_BOOKING_AVAILABILITY_REF_STATE_NO_AVAILABILITY_VP_320_MODE_KEYBOARD_STREAM_SEMANTIC_V01","Loading/no-slot/stale/slot-selected/slot-lost/timezone-change/review frames; DST fixtures","Local time/zone announced; keyboard calendar/list parity; stale slot disabled with reason; review/edit before submit","Long timezone/DST strings; zero/many slots; owner absent; outcome summary; no promise","PRIM-001;PRIM-015;PRIM-020;PRIM-032;PRIM-034;PRIM-035;PRIM-036;PRIM-043;PRIM-057;PRIM-058","Owner/backup mailbox calendar Graph availability no-slot and booking policy","BP-NFR-006","TL-WARN-EXTEND"
"TPL-BOOKING-RECONCILIATION","Booking submission confirmation reschedule and cancellation","flow_template","BF-01D/BF-01E ACT-28/29/30/31","FLOW-BOOKING-LINEAGE","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","HSD_UIR_B06_TPL_BOOKING_RECONCILIATION_REF_STATE_BOOKING_PENDING_VP_320_MODE_SCREEN_READER_STREAM_SEMANTIC_V01","Not-submitted/pending/reconciliation-error/confirmed/reschedule-pending/conflict/cancel-pending/cancelled/session/offline frames","One lineage/idempotency; prior truth visible; status refresh; accessible reauth; success only after reconcile; print summary","Long local date/time/zone; two-tab duplicate; timeout; alert failure; old/new occurrence; unsupported reschedule action","PRIM-001;PRIM-015;PRIM-018;PRIM-023;PRIM-032;PRIM-036;PRIM-037;PRIM-043;PRIM-050;PRIM-057;PRIM-058","Provider record authorization link lifetime cutoff retention cancellation/reschedule rules and next-step copy","BP-NFR-006","TL-WARN-EXTEND"
