coverage_id,coverage_kind,source_id,flow_family,action_name,template_ids,state_profile,viewport_profile,mode_profile,success_or_expected_state,error_empty_pending_state,recovery,linked_tests,gate,browser_profile,time_limit_branch
"COV-FLOW-AUTH-SESSION-PERMISSION","flow_family","FLOW-AUTH-SESSION-PERMISSION","AUTH_SESSION_PERMISSION","Staff sign-in reauthentication session and negative-permission branches","TPL-STAFF-AUTH;TPL-SYSTEM-RECOVERY","SP-AUTH","VP-STAFF","MP-STAFF","Authorized role session only after authoritative identity and role checks","Signed out provider unavailable missing/ambiguous role forbidden idle/absolute expiry CSRF/rotation failure and dormant break glass deny safely","Accessible reauthentication approved support or separately controlled break-glass process with no state change or data leak","UXTEST-021;UXTEST-022;UXTEST-027;UXTEST-037;UXTEST-040;UXTEST-043","Tenant groups exact privileges identity provider break-glass activation and security architecture remain gated","BP-NFR-006","TL-WARN-EXTEND"
"COV-FLOW-ERROR-OFFLINE-RECOVERY","flow_family","FLOW-ERROR-OFFLINE-RECOVERY","ERROR_OFFLINE_RECOVERY","Shared loading empty pending unavailable offline error permission session stale conflict asset and checksum recovery","TPL-SYSTEM-RECOVERY;TPL-QUICK-ACCESS-RECOVERY","SP-SYSTEM-RECOVERY","VP-INTERACTIVE","MP-INTERACTIVE","Last authoritative truth and already-approved content remain usable","No blank shell hidden queue false success false availability silent fallback or protected detail leakage","Smallest safe correct status-check retry refresh reauthenticate Quick Access Contact human or Book action","UXTEST-001;UXTEST-007;UXTEST-008;UXTEST-011;UXTEST-017;UXTEST-018;UXTEST-020;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-025;UXTEST-029;UXTEST-032;UXTEST-037;UXTEST-044","Exact error copy cache retry support escalation and provider policy remain gated","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-01","action","ACT-01","NAVIGATION_SEARCH","Open primary navigation","TPL-GLOBAL-NAVIGATION","SP-NAVIGATION","VP-PUBLIC","MP-PUBLIC","Destinations visible and focus enters menu","Control failure or JavaScript absent","Semantic initial-HTML links; reload or skip link; focus returns on close","UXTEST-001;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-039","Final labels and route activation","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-02","action","ACT-02","NAVIGATION_SEARCH","Open canonical route","TPL-GLOBAL-NAVIGATION;TPL-QUICK-ACCESS-RECOVERY","SP-PUBLIC-DOCUMENT","VP-PUBLIC","MP-PUBLIC","Complete active-release document H1 and context","Loading offline unknown 404 retired 410 or release unavailable","Approved cached/prior truth; retry; directory; nearest canonical; Home or Book","UXTEST-001;UXTEST-002;UXTEST-004;UXTEST-044","Route content approval and release activation","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-03","action","ACT-03","NAVIGATION_SEARCH","Open directory/search","TPL-DIRECTORY-SEARCH","SP-NAVIGATION","VP-INTERACTIVE","MP-INTERACTIVE","Search and browse groups available","Index loading or unavailable; focus failure","Static active-release directory; Quick Access; restore invoker focus","UXTEST-008;UXTEST-021;UXTEST-022","Search provider and ranking","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-04","action","ACT-04","NAVIGATION_SEARCH","Submit search","TPL-DIRECTORY-SEARCH","SP-NAVIGATION","VP-INTERACTIVE","MP-INTERACTIVE","Canonical result list","Empty query no results or derived index/checksum failure","Browse categories; clear; static directory; never search draft/private data","UXTEST-008;UXTEST-028;UXTEST-030","Query taxonomy analytics and provider","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-05","action","ACT-05","WORLD_HUD_FALLBACK","Open result or room","TPL-DIRECTORY-SEARCH;TPL-WORLD-HUD;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Canonical document or optional directed transition","Closed room missing asset or stale result","Canonical semantic route or Quick Access with safe context","UXTEST-003;UXTEST-007;UXTEST-008;UXTEST-038","Room activation 3D assets and route publication","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-06","action","ACT-06","WORLD_HUD_FALLBACK","Enter optional World","TPL-FIRST-VISIT;TPL-WORLD-SHELL;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Onboarding or stable Reception","Unsupported WebGL low power loader asset or network error","Quick Access immediately retaining source route/wing context","UXTEST-005;UXTEST-007;UXTEST-025","World design production and assets","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-07","action","ACT-07","FIRST_RETURN_VISIT","Skip intro or guide","TPL-FIRST-VISIT;TPL-WORLD-SHELL","SP-FIRST-VISIT","VP-WORLD","MP-WORLD","Stable Reception or chosen semantic destination","Transition interrupted","Jump to stable end state and announce location","UXTEST-005;UXTEST-021;UXTEST-025","Final onboarding copy and motion design","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-08","action","ACT-08","WORLD_HUD_FALLBACK","Navigate immersive destination","TPL-WORLD-SHELL;TPL-WORLD-HUD;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Directed point-and-click transition and location update","Transition asset memory or thermal failure","Cancel motion; stable current location; quality downgrade or canonical route","UXTEST-003;UXTEST-007;UXTEST-025;UXTEST-039;UXTEST-040","3D storyboard performance and implementation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-09","action","ACT-09","WORLD_HUD_FALLBACK","Toggle quality","TPL-WORLD-HUD;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Labeled quality state applied","Unsupported tier or change failure","Prior stable tier; low power; Quick Access; no content loss","UXTEST-007;UXTEST-025","Exact quality tiers and performance thresholds","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-10","action","ACT-10","WORLD_HUD_FALLBACK","Toggle audio","TPL-WORLD-HUD;TPL-MEDIA-OPT-IN","SP-WORLD","VP-WORLD","MP-WORLD","Explicit muted or unmuted state","Media unavailable or blocked","Remain muted; text/visual equivalent; retry only after interaction","UXTEST-013;UXTEST-025;UXTEST-041","Audio asset rights copy and implementation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-11","action","ACT-11","FIRST_RETURN_VISIT","Toggle accessibility or reduced motion","TPL-FIRST-VISIT;TPL-WORLD-HUD","SP-FIRST-VISIT","VP-WORLD","MP-WORLD","Stable authored equivalent","Preference cannot persist","Apply session state and explain persistence failure without blocking","UXTEST-005;UXTEST-025;UXTEST-040","Preference persistence and final settings copy","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-12","action","ACT-12","WORLD_HUD_FALLBACK","Exit World","TPL-WORLD-HUD;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Current canonical semantic route opens","Missing mapping","Services Home or Quick Access with safe fallback status","UXTEST-003;UXTEST-007;UXTEST-038","Route-room mapping and active release","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-ACT-13","action","ACT-13","ERROR_OFFLINE_RECOVERY","Open source or evidence","TPL-WORK-DETAIL;TPL-DEMO-DETAIL;TPL-INSIGHT-DETAIL;TPL-TRUST-DETAIL;TPL-SYSTEM-RECOVERY","SP-EVIDENCE-DETAIL","VP-PUBLIC","MP-PUBLIC","Accessible active canonical source","Held retired unavailable or checksum-mismatched source","Cannot-verify label; related approved source; human or Book","UXTEST-003;UXTEST-010;UXTEST-021;UXTEST-022;UXTEST-026","Source evidence rights approval and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-14","action","ACT-14","AI","Start AI","TPL-AI-CONCIERGE","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","Identified anonymous session and consent choice","Policy provider or session unavailable","Semantic content; available human; Contact; Book","UXTEST-009;UXTEST-010;UXTEST-011","AI capability provider policy and exact copy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-15","action","ACT-15","AI","Choose AI retention consent","TPL-AI-CONCIERGE","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","Ephemeral or approved consented state","Exact policy unavailable record write unknown or declined","Fail to ephemeral/no-retention; retry only when authoritative; browsing or Book","UXTEST-009;UXTEST-030","Consent/legal copy retention classes and persistence","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-16","action","ACT-16","AI","Send AI message","TPL-AI-CONCIERGE","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","Sourced answer or explicit safe refusal","Typing/send timeout duplicate or grounding unavailable","Not-sent/unknown; status check; one safe retry; human or Book","UXTEST-010;UXTEST-011;UXTEST-022","Grounding/provider/refusal/error copy and retry policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-17","action","ACT-17","AI","Resume AI","TPL-AI-CONCIERGE;TPL-QUICK-ACCESS-RECOVERY","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","Same valid session resumes once","Expired invalid checksum or policy mismatch","New ephemeral session; old content not resumed; human or Book","UXTEST-011;UXTEST-030","Session policy retention and exact copy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-18","action","ACT-18","HUMAN_HANDOFF_MEDIA","Request human","TPL-HUMAN-HANDOFF","SP-HANDOFF-MEDIA","VP-INTERACTIVE","MP-INTERACTIVE","One durable handoff request","No explicit availability duplicate console outage or alert failure","Preserve durable request; refresh; Contact or Book; alert retry staff-side","UXTEST-012;UXTEST-032;UXTEST-033","Staff availability owners consent routing and SLA","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-19","action","ACT-19","HUMAN_HANDOFF_MEDIA","Opt into voice or video","TPL-MEDIA-OPT-IN;TPL-HUMAN-HANDOFF","SP-HANDOFF-MEDIA","VP-INTERACTIVE","MP-INTERACTIVE","Media begins only after explicit permission","Declined denied unsupported device or media failure","Text continues; permission guidance; Book; no automatic reactivation","UXTEST-013;UXTEST-041","Media provider rights alternatives and policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-20","action","ACT-20","BOOKING_LINEAGE","Start booking","TPL-BOOKING-SHELL;TPL-BOOKING-QUALIFICATION;TPL-QUICK-ACCESS-RECOVERY","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","One lineage and accessible non-WebGL qualification flow","Transactional script or booking entry unavailable","Semantic not-started/not-completed status; retry Book; verified Contact; safe route/wing context only","UXTEST-004;UXTEST-014;UXTEST-044;UXTEST-045","Booking architecture provider and verified Contact","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-21","action","ACT-21","BOOKING_LINEAGE","Submit qualification","TPL-BOOKING-QUALIFICATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","QUALIFICATION_COMPLETE","Missing/invalid field consent declined or offline","Linked summary and correction; browsing/ephemeral help; no retained lead","UXTEST-014;UXTEST-015;UXTEST-042;UXTEST-045","Exact consent copy field rules and persistence","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-22","action","ACT-22","BOOKING_LINEAGE","Issue email challenge","TPL-BOOKING-VERIFICATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","EMAIL_PENDING in same lineage","Not issued unknown provider Redis or rate-limit failure","Status check before retry; bounded later guidance; change address; no slots","UXTEST-016;UXTEST-043","Challenge provider expiry resend rate-limit masking and support","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-23","action","ACT-23","BOOKING_LINEAGE","Resend challenge","TPL-BOOKING-VERIFICATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","New current challenge in same lineage","Too soon limit unknown or delivery failure","Approved wait guidance; status check; corrected address; no second lineage","UXTEST-016;UXTEST-043","Challenge timing rate limits and exact guidance","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-24","action","ACT-24","BOOKING_LINEAGE","Correct email","TPL-BOOKING-VERIFICATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","Old challenge invalidated and new challenge pending","Invalid syntax or update conflict","Correct inline; refresh authoritative lineage; no verified carryover","UXTEST-016;UXTEST-042","Email handling masking and provider policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-25","action","ACT-25","BOOKING_LINEAGE","Verify email","TPL-BOOKING-VERIFICATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","VERIFIED","Invalid expired used wrong-lineage or undeliverable challenge","Safe resend/current challenge; corrected address; support; no slots","UXTEST-016;UXTEST-043","Verification method provider policy and support","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-26","action","ACT-26","BOOKING_LINEAGE","Load availability","TPL-BOOKING-AVAILABILITY","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","Eligible 30-minute slots in explicit visitor-local zone","Loading none stale owner provider or Graph unavailable","Retry/next period; honest no-slot; approved human/Contact; no promise","UXTEST-017;UXTEST-023","Owner/backup availability Graph/mailbox no-slot policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-27","action","ACT-27","BOOKING_LINEAGE","Select slot","TPL-BOOKING-AVAILABILITY","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","SLOT_SELECTED and review summary","Slot no longer available or timezone changes","Refresh; reselect; show same instant and zone clearly","UXTEST-017;UXTEST-042","Provider availability and review copy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-28","action","ACT-28","BOOKING_LINEAGE","Submit booking","TPL-BOOKING-RECONCILIATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","One BOOKING_PENDING durable request","Offline before accept duplicate or ambiguous provider timeout","Explicit not-submitted or pending; same idempotency key; reconcile before retry","UXTEST-018;UXTEST-044","Provider/outbox contracts and exact pending copy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-29","action","ACT-29","BOOKING_LINEAGE","Refresh booking status","TPL-BOOKING-RECONCILIATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","CONFIRMED_QUALIFIED or truthful pending/failed","Status service unavailable","Retain last authoritative state; retry later or approved support; never infer success","UXTEST-018;UXTEST-019","Provider reconciliation support and next-step copy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-30","action","ACT-30","BOOKING_LINEAGE","Reschedule","TPL-BOOKING-RECONCILIATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","Same lineage with reconciled replacement occurrence","Expired auth no slots timeout race or conflict","Reauthenticate; keep old confirmed truth; refresh/reconcile; approved support","UXTEST-020;UXTEST-042;UXTEST-043","Authorization link lifetime cutoff provider and no-slot rules","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-31","action","ACT-31","BOOKING_LINEAGE","Cancel","TPL-BOOKING-RECONCILIATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","Reconciled CANCELLED","Expired auth provider timeout or conflict","Retain last confirmed state; refresh/reconcile; never claim cancelled early","UXTEST-020;UXTEST-042;UXTEST-043","Authorization link lifetime cutoff and provider cancellation rules","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-32","action","ACT-32","CONTACT","Submit contact","TPL-PUBLIC-CONTACT","SP-CONTACT","VP-INTERACTIVE","MP-INTERACTIVE","One truthful accepted or pending contact record","Invalid offline duplicate or channel unavailable","Correct; same idempotency identity; verified alternate or Book; no SLA","UXTEST-015;UXTEST-021;UXTEST-022","Verified contact channel consent fields routing and response policy","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-33","action","ACT-33","AUTH_SESSION_PERMISSION","Staff sign in","TPL-STAFF-AUTH","SP-AUTH","VP-STAFF","MP-STAFF","Authorized role session","Entra unavailable no/ambiguous group or local account dormant","Deny by default; approved support or break-glass process only; no credential hints","UXTEST-027;UXTEST-043","Tenant groups exact role mapping identity provider and break glass","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-34","action","ACT-34","STAFF_PUBLICATION_OPERATIONS","Save draft","TPL-PUBLICATION-EDITOR","SP-PUBLICATION","VP-STAFF","MP-STAFF","Durable draft version saved","Validation network session or version conflict","Retain text only under approved policy; reauth; merge/version choice without overwrite","UXTEST-021;UXTEST-027;UXTEST-042;UXTEST-043","Autosave retention merge and field policies","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-35","action","ACT-35","STAFF_PUBLICATION_OPERATIONS","Submit for review","TPL-PUBLICATION-EDITOR;TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","Immutable review candidate queued","Missing evidence rights owner metadata or stale version","Linked issue list; return to draft; resubmit new version","UXTEST-027;UXTEST-028;UXTEST-036","Required evidence/metadata/rights and review policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-36","action","ACT-36","STAFF_PUBLICATION_OPERATIONS","Reviewer decision","TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","Independent pass or changes requested","Unauthorized self-review stale candidate or session failure","Deny; refresh current candidate; approved reassignment","UXTEST-027;UXTEST-036","Reviewer membership findings taxonomy and reassignment","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-37","action","ACT-37","STAFF_PUBLICATION_OPERATIONS","Founder decision","TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","Approved rejected or changes requested on current candidate","Unauthorized stale or not specialist-passed","Deny; refresh; return to review queue; never infer approval","UXTEST-027;UXTEST-036","Founder identity exact decision semantics and legal signoff","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-38","action","ACT-38","STAFF_PUBLICATION_OPERATIONS","Render and index candidate","TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","Valid immutable candidate checksum","Render index schema sitemap AI or 3D parity failure","Previous release active; correct through workflow; rerun full validation","UXTEST-028;UXTEST-029;UXTEST-036","Technical architecture release contracts and activation","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-39","action","ACT-39","STAFF_PUBLICATION_OPERATIONS","Activate release","TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","One atomic active checksum","Partial timeout or mismatch","No activation or rollback to prior active; reconcile; never mix surfaces","UXTEST-028;UXTEST-029","Activation authority infrastructure and release contract","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-40","action","ACT-40","FIRST_RETURN_VISIT","Clear preferences or session","TPL-RETURN-VISIT;TPL-STAFF-AUTH","SP-RETURN-VISIT","VP-INTERACTIVE","MP-INTERACTIVE","Non-sensitive preferences cleared or session ended","Storage unavailable","Clear as far as possible; explain local limitation; no account claim","UXTEST-006;UXTEST-021;UXTEST-043","Storage/session policy and exact copy","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-ACT-41","action","ACT-41","STAFF_PUBLICATION_OPERATIONS","Declare staff available","TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Durable approved-scope availability on","Pending role eligibility Redis or Teams issue fails unavailable; no scope empty","Status check and retry; no presence-derived availability","UXTEST-012;UXTEST-031","Staff scopes owners/delegates and availability policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-42","action","ACT-42","STAFF_PUBLICATION_OPERATIONS","Withdraw staff availability","TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Durable availability off","Pending error or already off","Fail safe to unavailable; idempotent status check/retry; queued work visible","UXTEST-031","Staff scopes owners/delegates and queue policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-43","action","ACT-43","STAFF_PUBLICATION_OPERATIONS","Triage handoff queue","TPL-STAFF-QUEUE;TPL-STAFF-WORK-DETAIL","SP-STAFF-QUEUE","VP-STAFF","MP-STAFF","Current authorized request detail opened","Queue loading unavailable stale or truthful empty","Refresh authoritative request; reauthenticate; no chat data in analytics","UXTEST-032;UXTEST-037","Operator role queue fields filters and privacy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-44","action","ACT-44","STAFF_PUBLICATION_OPERATIONS","Accept text conversation","TPL-HUMAN-HANDOFF;TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","One authorized operator owns text_active","Pending stale already accepted or consent invalid","Reconcile current owner/status; no duplicate; visitor keeps Book","UXTEST-032","Operator/assignment/consent policy","BP-NFR-006","TL-WARN-EXTEND"
