"profile_id","dimension","applies_to","required_values","minimum_evidence","critical_distinct_frame_values","annotation_requirements","exception_rule","browser_profile","time_limit_branch"
"SP-PUBLIC-DETAIL","state","Service and industry detail documents","STATE-REST;STATE-LOADING;STATE-HELD;STATE-SOURCE-UNAVAILABLE;STATE-CHECKSUM-MISMATCH;STATE-ASSET-FAILURE;STATE-OFFLINE;STATE-ERROR;STATE-404;STATE-410;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Rest and held frames; source-unavailable/checksum/error evidence; long-title/source/limitation stress","STATE-REST;STATE-HELD;STATE-SOURCE-UNAVAILABLE;STATE-CHECKSUM-MISMATCH;STATE-ERROR","Title/context/scope/limits/source/action order; cannot-verify behavior; safe related route; direct Book","Missing proof cannot be replaced with generic capability copy","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-EVIDENCE-COLLECTION","state","Work Demos Insights Experts and Trust collections","STATE-REST;STATE-LOADING;STATE-POPULATED;STATE-EMPTY;STATE-HELD;STATE-STALE;STATE-DERIVED-INDEX-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Honest empty/held and maximum-density populated frames; Work/Demo separation; index failure and offline recovery","STATE-EMPTY;STATE-HELD;STATE-POPULATED;STATE-DERIVED-INDEX-UNAVAILABLE","Evidence type/source/limitation/availability labels; no seeds/invented people; static directory fallback","A populated frame may use visibly non-public structural fixtures only and must not resemble a real client/person claim","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-EVIDENCE-DETAIL","state","Work Demo Insight Expert and Trust detail patterns","STATE-REST;STATE-LOADING;STATE-VERIFIED;STATE-DEMO;STATE-PROPOSED-REQUIREMENT;STATE-REVIEW-NEEDED;STATE-HELD;STATE-SOURCE-UNAVAILABLE;STATE-CHECKSUM-MISMATCH;STATE-ASSET-FAILURE;STATE-OFFLINE;STATE-ERROR;STATE-404;STATE-410;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Distinct evidence-grammar variants; held/source/checksum/error frames; long-form/narrow/print and media-alternative evidence","STATE-VERIFIED;STATE-DEMO;STATE-PROPOSED-REQUIREMENT;STATE-HELD;STATE-CHECKSUM-MISMATCH;STATE-ERROR","Visible text plus marker/line; source/date/scope/limitations; related canonical/action; print and screen-reader equivalent","Use of STATE-VERIFIED is structural only until a real item passes evidence and publication gates","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-NAVIGATION","state","Primary navigation breadcrumbs directory search and HUD directory","STATE-CLOSED;STATE-OPEN;STATE-LOADING;STATE-EMPTY-QUERY;STATE-NO-RESULTS;STATE-RESULTS;STATE-STALE;STATE-DERIVED-INDEX-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED;STATE-PREFERENCE-READ-FAILED;STATE-STREAM-CEILING-REFUSED","Closed/open navigation frames; empty/no-result/result/index-unavailable directory frames; keyboard focus-return prototype","STATE-OPEN;STATE-NO-RESULTS;STATE-DERIVED-INDEX-UNAVAILABLE;STATE-OFFLINE;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED;STATE-PREFERENCE-READ-FAILED;STATE-STREAM-CEILING-REFUSED","Labeled disclosure; invoker focus return; clean canonical results; static browse fallback; no raw query persistence","No URL-backed search/filter/sort state may be invented","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-FIRST-VISIT","state","First semantic visit and World stream choice","STATE-CONTENT-IMMEDIATE;STATE-WORLD-CHOICE;STATE-STANDARD-SELECTED;STATE-REDUCED-MOTION-SELECTED;STATE-LOW-POWER-SELECTED;STATE-SKIP-INTRO;STATE-QUICK-ACCESS-SELECTED;STATE-PREFERENCE-WRITE-FAILED;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-READ-FAILED","Semantic no-gate frame; World choice frame; standard/reduced/low/skip/Quick Access variants; persistence failure note","STATE-CONTENT-IMMEDIATE;STATE-WORLD-CHOICE;STATE-REDUCED-MOTION-SELECTED;STATE-PREFERENCE-WRITE-FAILED","Audio off; controls explained before commitment; H1/location focus; no bundled analytics/chat consent","No modal may block semantic content","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"SP-RETURN-VISIT","state","Return choice and saved-location recovery","STATE-NO-PREFERENCE;STATE-PREFERENCE-VALID;STATE-RESUME-OFFERED;STATE-RECEPTION-OFFERED;STATE-REPLAY-OFFERED;STATE-QUICK-ACCESS-OFFERED;STATE-PREFERENCE-STALE;STATE-DESTINATION-CLOSED;STATE-DESTINATION-RETIRED;STATE-CHECKSUM-MISMATCH;STATE-PREFERENCE-CLEARED;STATE-ERROR;STATE-FOCUS;STATE-PREFERENCE-READ-FAILED;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Valid return-choice frame; stale/closed/retired recovery frames; cleared/write-error annotation","STATE-RESUME-OFFERED;STATE-PREFERENCE-STALE;STATE-DESTINATION-RETIRED;STATE-CHECKSUM-MISMATCH","No identity/form/chat inference; name only public saved location; status announcement; nearest safe destination","Saved state is non-sensitive local preference only","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-WORLD","state","World stream onboarding loader Reception HUD transitions rooms and exit","STATE-PREENTRY;STATE-ONBOARDING;STATE-LOADING;STATE-RECEPTION;STATE-TRANSITION;STATE-CLOSED;STATE-HELD;STATE-OPENING;STATE-OPEN;STATE-TRANSITION-INTERRUPTED;STATE-STREAM-CHANGED;STATE-LOW-POWER;STATE-WEBGL-UNSUPPORTED;STATE-ASSET-FAILURE;STATE-NETWORK-FAILURE;STATE-CONTEXT-LOST;STATE-OFFLINE;STATE-ERROR;STATE-EXITED;STATE-FOCUS;STATE-PREFERENCE-WRITE-FAILED;STATE-STREAM-CEILING-REFUSED","Onboarding Reception HUD threshold/room states transition interruption and every recovery state and the stream change announcement as focused frame or paired semantic frame","STATE-ONBOARDING;STATE-RECEPTION;STATE-CLOSED;STATE-HELD;STATE-OPENING;STATE-OPEN;STATE-STREAM-CHANGED;STATE-WEBGL-UNSUPPORTED;STATE-ASSET-FAILURE;STATE-EXITED","Persistent location/directory/Quick Access/Book/accessibility/delivery stream control/audio/Exit; full formal titles; same checksum; focus/announcement","Canvas screenshots cannot prove DOM HUD semantics or Quick Access parity; annotations/prototype are mandatory","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"SP-AI","state","Reception AI Concierge","STATE-NOT-STARTED;STATE-CONSENT-CHOICE;STATE-EPHEMERAL;STATE-CONSENTED;STATE-CONNECTING;STATE-ANSWERING;STATE-SOURCED-ANSWER;STATE-CANNOT-VERIFY;STATE-REFUSED;STATE-POLICY-UNAVAILABLE;STATE-PROVIDER-UNAVAILABLE;STATE-SEND-NOT-SENT;STATE-SEND-UNKNOWN;STATE-RESUME-PENDING;STATE-RESUMED;STATE-EXPIRED;STATE-HANDOFF-OFFERED;STATE-BOOK-OFFERED;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Consent/ephemeral/consented; sourced/cannot-verify/refusal/unavailable; resume/expiry; human/Book frames with transcript/source stress","STATE-CONSENT-CHOICE;STATE-SOURCED-ANSWER;STATE-CANNOT-VERIFY;STATE-REFUSED;STATE-PROVIDER-UNAVAILABLE;STATE-EXPIRED","Visible AI identity; sources in reading order; no content analytics; no account/upload/media; status without duplicate send","Exact consent/refusal/legal copy and provider behavior remain gated","BP-NFR-006","TL-WARN-EXTEND"
"SP-HANDOFF-MEDIA","state","Human handoff durable request and voice/video opt-in","STATE-NOT-OFFERED;STATE-OFFERED;STATE-CONSENT-CHOICE;STATE-REQUESTED;STATE-REQUEST-PENDING;STATE-QUEUED;STATE-ACCEPTED;STATE-TEXT-ACTIVE;STATE-ENDED;STATE-STAFF-UNAVAILABLE;STATE-ALERT-FAILED;STATE-EXPIRED;STATE-DECLINED;STATE-MEDIA-OPT-IN;STATE-MEDIA-PERMISSION-PENDING;STATE-MEDIA-ACTIVE;STATE-MEDIA-DENIED;STATE-MEDIA-UNSUPPORTED;STATE-MEDIA-FAILED;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Offered/unavailable/pending/queued/active/ended; alert failure; media opt-in/denied/failure; text/Book recovery","STATE-OFFERED;STATE-REQUEST-PENDING;STATE-QUEUED;STATE-TEXT-ACTIVE;STATE-STAFF-UNAVAILABLE;STATE-ALERT-FAILED;STATE-MEDIA-OPT-IN;STATE-MEDIA-DENIED","Explicit availability only; share-purpose explanation; durable console truth; text remains; media alternatives and permission guidance","Presence cannot create availability and no response promise may be invented","BP-NFR-006","TL-WARN-EXTEND"
"SP-BOOKING","state","Direct qualified booking lineage","STATE-BOOKING-STARTED;STATE-VALIDATION-ERROR;STATE-CONSENT-DECLINED;STATE-QUALIFICATION-COMPLETE;STATE-EMAIL-NOT-ISSUED;STATE-EMAIL-UNKNOWN;STATE-EMAIL-PENDING;STATE-EMAIL-EXPIRED;STATE-EMAIL-UNDELIVERABLE;STATE-EMAIL-CORRECTED;STATE-EMAIL-RESEND-LIMITED;STATE-VERIFIED;STATE-AVAILABILITY-LOADING;STATE-NO-AVAILABILITY;STATE-AVAILABILITY-STALE;STATE-SLOT-SELECTED;STATE-SLOT-LOST;STATE-REVIEW;STATE-BOOKING-NOT-SUBMITTED;STATE-BOOKING-PENDING;STATE-RECONCILIATION-ERROR;STATE-CONFIRMED-QUALIFIED;STATE-RESCHEDULE-PENDING;STATE-RESCHEDULE-CONFLICT;STATE-CANCEL-PENDING;STATE-CANCELLED;STATE-OFFLINE;STATE-SESSION-EXPIRED;STATE-PERMISSION-DENIED;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Distinct frames for every lineage milestone and ambiguity; focused validation/provider/offline/auth recovery; two-tab/duplicate annotations; printable confirmed/pending summary","STATE-BOOKING-STARTED;STATE-VALIDATION-ERROR;STATE-EMAIL-PENDING;STATE-EMAIL-EXPIRED;STATE-EMAIL-UNDELIVERABLE;STATE-VERIFIED;STATE-NO-AVAILABILITY;STATE-REVIEW;STATE-BOOKING-PENDING;STATE-RECONCILIATION-ERROR;STATE-CONFIRMED-QUALIFIED;STATE-RESCHEDULE-PENDING;STATE-CANCEL-PENDING;STATE-CANCELLED","One lineage/idempotency key; exact six fields plus consent and optional budget; local time/zone; prior truth visible; no false success","Provider/mailbox/challenge timing/no-slot/reschedule/cancel/legal rules remain gated","BP-NFR-006","TL-WARN-EXTEND"
"SP-CONTACT","state","Contact route and submission","STATE-REST;STATE-CHANNELS-HELD;STATE-VALIDATION-ERROR;STATE-CONSENT-DECLINED;STATE-SUBMITTED;STATE-PENDING;STATE-FAILED;STATE-DUPLICATE;STATE-CHANNEL-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Held-channel base; validation; accepted/pending/failed/duplicate/offline states; verified alternate/Book recovery","STATE-CHANNELS-HELD;STATE-VALIDATION-ERROR;STATE-PENDING;STATE-FAILED;STATE-OFFLINE","No example address/person/SLA; purpose/privacy explanation; idempotency; error summary and focus","Exact channel fields and final copy remain MA-002/MA-006 gates","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-AUTH","state","Staff sign-in session and permission","STATE-SIGNED-OUT;STATE-SIGNING-IN;STATE-AUTHORIZED;STATE-FORBIDDEN;STATE-ROLE-MISSING;STATE-ROLE-AMBIGUOUS;STATE-IDLE-EXPIRED;STATE-ABSOLUTE-EXPIRED;STATE-CSRF-FAILED;STATE-SESSION-ROTATION-FAILED;STATE-REAUTHENTICATING;STATE-ENTRA-UNAVAILABLE;STATE-BREAK-GLASS-GATED;STATE-ERROR;STATE-FOCUS","Signed-out/authorized/forbidden/expiry/reauth/identity-provider unavailable frames and negative-role annotations","STATE-SIGNED-OUT;STATE-AUTHORIZED;STATE-FORBIDDEN;STATE-IDLE-EXPIRED;STATE-ENTRA-UNAVAILABLE","Deny by default; disclose no protected detail; accessible auth; no credential hints; last safe state preserved","Exact identity provider and break-glass operation await security/architecture authority","BP-NFR-006","TL-WARN-EXTEND"
"SP-STAFF-QUEUE","state","Staff work queues and lists","STATE-LOADING;STATE-EMPTY;STATE-RESULTS;STATE-CURRENT;STATE-PENDING;STATE-STALE;STATE-UNAVAILABLE;STATE-DERIVED-INDEX-UNAVAILABLE;STATE-PERMISSION-DENIED;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS","Empty versus unavailable; maximum-density; stale/current; permission; derived-index fallback frames","STATE-EMPTY;STATE-RESULTS;STATE-STALE;STATE-UNAVAILABLE;STATE-PERMISSION-DENIED","Durable retrieval fallback; bounded filters; current version; no private content in analytics; reauth route","No role gains privilege by layout visibility","BP-NFR-006","TL-WARN-EXTEND"
"SP-STAFF-WORK","state","Availability conversations assignment booking exceptions reviews and audit-related work detail","STATE-CURRENT;STATE-PENDING;STATE-SUCCESS;STATE-STALE;STATE-CONFLICT;STATE-NO-ELIGIBLE-ASSIGNEE;STATE-UNAVAILABLE;STATE-PERMISSION-DENIED;STATE-SESSION-EXPIRED;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS","Current/pending/success/stale/conflict/no-assignee/permission/error focused frames for each operation family","STATE-CURRENT;STATE-PENDING;STATE-STALE;STATE-CONFLICT;STATE-PERMISSION-DENIED","Authoritative state and version; actor/scope/before-after; idempotent mutation; negative role; safe refresh/hold/escalate","Reason taxonomies SLA escalation and exact privileges remain gated","BP-NFR-006","TL-WARN-EXTEND"
"SP-PUBLICATION","state","Author review founder render index and activation workflow","STATE-DRAFT;STATE-DRAFT-SAVED;STATE-VALIDATION-ERROR;STATE-REVIEW-QUEUED;STATE-CHANGES-REQUESTED;STATE-SPECIALIST-PASSED;STATE-FOUNDER-PENDING;STATE-FOUNDER-APPROVED;STATE-FOUNDER-REJECTED;STATE-CANDIDATE-STALE;STATE-RENDER-PENDING;STATE-RENDER-FAILED;STATE-CANDIDATE-VALIDATED;STATE-ACTIVATION-PENDING;STATE-ACTIVATION-FAILED;STATE-ACTIVE;STATE-PRIOR-ACTIVE;STATE-PERMISSION-DENIED;STATE-SESSION-EXPIRED;STATE-ERROR;STATE-FOCUS","Draft/error/review/founder/candidate/render/activation/prior-active frames; exact checksum/version and role-negative evidence","STATE-DRAFT;STATE-VALIDATION-ERROR;STATE-REVIEW-QUEUED;STATE-SPECIALIST-PASSED;STATE-FOUNDER-PENDING;STATE-RENDER-FAILED;STATE-CANDIDATE-VALIDATED;STATE-ACTIVE;STATE-PRIOR-ACTIVE","No self-approval; immutable candidate; draft isolation; prior release preserved; current checksum reviewed","Exact rejection taxonomy legal sign-off and role membership remain gated","BP-NFR-006","TL-WARN-EXTEND"
"SP-AUDIT","state","Authorized audit inspection","STATE-LOADING;STATE-EMPTY;STATE-RESULTS;STATE-DERIVED-INDEX-UNAVAILABLE;STATE-DURABLE-RETRIEVAL;STATE-INTEGRITY-GAP;STATE-PERMISSION-DENIED;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS","Empty/results/index-unavailable/durable-recovery/integrity-gap/permission frames; long event-chain and print evidence","STATE-EMPTY;STATE-RESULTS;STATE-DERIVED-INDEX-UNAVAILABLE;STATE-INTEGRITY-GAP;STATE-PERMISSION-DENIED","Read-only; inspection audited; redaction; no secret/chat analytics; unauthorized learns no event existence","Export is absent unless later separately approved","BP-NFR-006","TL-WARN-EXTEND"
"SP-SYSTEM-RECOVERY","state","Shared system status and recovery presentation","STATE-LOADING;STATE-DEGRADED;STATE-EMPTY;STATE-PENDING;STATE-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-PERMISSION-DENIED;STATE-SESSION-EXPIRED;STATE-STALE;STATE-CONFLICT;STATE-ASSET-FAILURE;STATE-CHECKSUM-MISMATCH;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Reusable focused frames for each class on light/dark/forced-color surfaces; route/flow host retains context","STATE-PENDING;STATE-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-PERMISSION-DENIED;STATE-CHECKSUM-MISMATCH","What happened; what was preserved; authoritative state; smallest safe action; status semantics; no provider/secret/PII leakage","This profile supplements rather than replaces a host template state profile","BP-NFR-006","TL-WARN-EXTEND"
"BP-NFR-006","browser","Every public interactive World Quick Access and staff reference template route flow profile and production batch","Current latest two stable release families of Chrome Edge Firefox and Safari selected by dated QA; Safari on iOS 16.4 is the minimum legacy floor; semantic Quick Access for clients below that floor or otherwise unsupported","Dated later QA records the exact current stable versions; Safari/iOS 16.4 mobile layout input virtual-keyboard and safe-area evidence; representative current evergreen evidence; below-floor and otherwise-unsupported recovery evidence proves semantic Quick Access without WebGL","Safari/iOS-16.4-floor;current-evergreen;unsupported-Quick-Access","Record browser engine platform input method viewport safe-area behavior support disposition and paired semantic destination; never infer exact current versions at this documentation freeze","No browser-specific omission may remove essential content or action; a client outside the profile must recover through semantic Quick Access","BP-NFR-006","TL-NOT-APPLICABLE"
"TL-REMOVABLE-ADJUSTABLE","time_limit","A user time limit assigned to the removable-or-adjustable branch of WCAG 2.2 SC 2.2.1","The user can turn off the time limit before encountering it or adjust it before start over the criterion-supported range","Branch selection shown in the affected reference; control is keyboard and screen-reader operable; permitted data and last authoritative state survive; accessible reauthentication is shown if a protected session is affected; exact product duration remains gated","branch-selection;before-start-control;preservation;accessible-reauth-if-applicable","Identify affected route flow template profile and batch; distinguish a user time limit from provider latency or system response timeout","If neither removal nor pre-start adjustment is supported assign TL-WARN-EXTEND or document a criterion-supported TL-EXCEPTION before production","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"TL-WARN-EXTEND","time_limit","A user time limit assigned to the warning-and-extension branch of WCAG 2.2 SC 2.2.1","Warn at least 20 seconds before expiry and provide a simple extension of at least ten times the default limit","Branch selection shown in the affected reference; warning status and extension control are keyboard and screen-reader operable; permitted data and last authoritative state survive expiry; accessible reauthentication returns to preserved context; exact product duration remains gated","warning-at-least-20-seconds;simple-extension-at-least-10x;preservation;accessible-reauth","Identify affected route flow template profile and batch; record authoritative state and extension behavior; do not treat provider latency or system response timeout as the user limit","A different treatment requires TL-REMOVABLE-ADJUSTABLE or a criterion-supported TL-EXCEPTION accepted through the standards-exception human gate","BP-NFR-006","TL-WARN-EXTEND"
"TL-EXCEPTION","time_limit","Only a documented criterion-supported exception to WCAG 2.2 SC 2.2.1","The exception record identifies the applicable criterion language affected complete process rationale fallback preservation behavior and independent accessibility-review acceptance","Exception record plus affected reference evidence; permitted data and last authoritative state preservation where allowed; accessible reauthentication where applicable; exact product duration remains gated","criterion-supported-rationale;affected-process;fallback;preservation;independent-review","Name the exact criterion-supported exception and affected route flow template profile and batch; standards target changes remain a human gate","Not assignable by this package without a separately reviewed exception record; no current package record selects this branch","BP-NFR-006","TL-EXCEPTION"
"TL-NOT-APPLICABLE","time_limit","A reference with no user time limit in the accepted definition","No user time limit is introduced; provider latency loading retry cooldown and system response timeout are documented separately and cannot silently become a user time limit","Explicit not-applicable mapping; if later production introduces a user limit it must select TL-REMOVABLE-ADJUSTABLE TL-WARN-EXTEND or a criterion-supported TL-EXCEPTION before review","not-applicable-annotation","State why no user time limit applies and preserve the gate against later implicit limits","Any introduced limit invalidates this mapping until an allowed branch and evidence are assigned","BP-NFR-006","TL-NOT-APPLICABLE"
