"primitive_id","primitive_name","primitive_category","interaction_class","required_anatomy","required_variants","stream_presence","pseudo_states","transactional_or_content_states","state_redundancy","responsive_and_mode_obligations","reference_templates_or_flows","source_decisions","source_requirements","source_ux_tests","source_actions","implementation_evidence_expectations","gated_facts"
"PRIM-011","Detail decision module","content_evidence","composite_interactive","breadcrumb;formal title;type and state;decision context;scope;limitations;sources;relationships;primary action","work_detail;demo_detail;article;person;trust_topic;about","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;held;unavailable;stale;error;success","visible text plus shape icon border pattern or position;never color only","Open sections preferred over nested cards;long sources wrap;reading order fixed;print and unavailable media retain complete meaning","verified_work_detail;demo_detail;article;person;trust_topic;about;J-03;J-04","D-025;D-026;D-035;D-036;D-007;D-019","BR-006;BR-007;BR-008;FR-017;SEO-005;SEO-006;PUB-006;PUB-007","UXTEST-001;UXTEST-003;UXTEST-004;UXTEST-024;UXTEST-026","ACT-02;ACT-13","Reference detail templates;later visible-content versus metadata and source parity checks","Detail copy;claims;people;rights;reviewers;dates;structured data remain gated"
"PRIM-012","Service wing and service decision unit","content_evidence","composite_interactive","formal title;concise sign mapping;context;scope;boundaries;release state;evidence;related Trust and content;Book","wing;service;closed;held_content;opening;open","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;held;unavailable;stale;error;success;current","visible text plus shape icon border pattern or position;never color only","All five wing and ten service names wrap without abbreviation;12/6/4 grid;formal title remains semantic;closed space retains canonical route","service_wing;service;ROUTE-WING-AI-DATA;ROUTE-SERVICE-AI-AUTOMATION;ROUTE-SERVICE-DATA-ANALYTICS;ROUTE-WING-STRATEGY;ROUTE-SERVICE-STRATEGY-ARCHITECTURE;ROUTE-WING-IMMERSIVE;ROUTE-SERVICE-SPATIAL;ROUTE-SERVICE-CREATIVE;ROUTE-WING-DIGITAL;ROUTE-SERVICE-PLATFORM-PRODUCT;ROUTE-SERVICE-PRODUCT-EXPERIENCE;ROUTE-SERVICE-COMMERCE-GROWTH;ROUTE-WING-CLOUD-TRUST;ROUTE-SERVICE-CLOUD-RELIABILITY;ROUTE-SERVICE-SECURITY-TRUST;J-01;J-02;J-03;DF-01","D-025;D-026;D-035;D-036;D-010;D-011","BR-004;BR-005;BR-011;BR-012;FR-001;FR-017;UX-008","UXTEST-002;UXTEST-003;UXTEST-004;UXTEST-023;UXTEST-038","ACT-02;ACT-05;ACT-13;ACT-20","Fifteen mapped reference variants and exact title/sign evidence;later release-order and parity tests","Scope;delivery evidence;owner;opening copy;room state remain gated"
"PRIM-013","Industry intersection unit","content_evidence","composite_interactive","sector title;reviewed context slot;related services;evidence state;limitations;expert slot;Book","industry_collection;agriculture;mining;held_context","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;empty;held;unavailable;error;success","visible text plus shape icon border pattern or position;never color only","Avoid image-led dependence;service links reflow;no directional or stereotype cue;long context and empty proof remain usable","industry_collection;industry;J-03","D-025;D-026;D-035;D-036;D-005","BR-003;BR-007;FR-017;SEO-004;UX-001","UXTEST-002;UXTEST-004;UXTEST-023;UXTEST-026","ACT-02;ACT-13;ACT-20","Agriculture and Mining structural references with held-proof state;later specialist and cultural review","Sector claims;history;experts;imagery;service fit evidence remain gated"
"PRIM-014","Primary booking CTA","actions_input","interactive","visible action label;optional context;state text;focus indicator","global;contextual;compact;inverse","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;pending;success;error;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Remains reachable at 320 CSS px and 400% zoom;not obscured by sticky UI;24 by 24 target minimum;forced-colors border;reduced-motion stable","all_public_route_families;J-01;J-03;J-04;J-05;AF-01;AF-02;DF-01;CF-01","D-025;D-026;D-035;D-036;D-005;D-016","BR-001;FR-005;SEO-001;UX-001;UX-003","UXTEST-001;UXTEST-004;UXTEST-021;UXTEST-023;UXTEST-039;UXTEST-044","ACT-14;ACT-18;ACT-20","All pseudo-state references plus direct Book reachability;later keyboard pointer contrast and routing evidence","Final CTA wording;booking availability;contact route remain gated"
"PRIM-015","General action button","actions_input","interactive","visible label;optional leading icon;optional progress;focus indicator","primary;secondary;quiet;destructive_pending_approval;icon_plus_text","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;pending;success;error;permission_denied;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Label wraps or component expands;no icon-only ambiguity;target minimum;forced colors and reduced motion;pending disables duplicate only","AF-01;AF-02;BF-01A;BF-01B;BF-01C;BF-01D;BF-01E;PF-01;SOF-01A;SOF-01B;SOF-01C;SOF-01D;SOF-01E;SOF-01F;SOF-01G;SOF-01H;SOF-01I;SOF-01J;SOF-01K;SOF-01L;SOF-01M","D-025;D-026;D-035;D-036","UX-001;UX-003;DATA-010;SEC-002","UXTEST-018;UXTEST-021;UXTEST-022;UXTEST-039","ACT-14;ACT-15;ACT-16;ACT-18;ACT-19;ACT-21;ACT-22;ACT-23;ACT-24;ACT-25;ACT-26;ACT-27;ACT-28;ACT-29;ACT-30;ACT-31;ACT-32;ACT-33;ACT-34;ACT-35;ACT-36;ACT-37;ACT-38;ACT-39;ACT-40;ACT-41;ACT-42;ACT-43;ACT-44;ACT-45;ACT-46;ACT-47;ACT-48;ACT-49;ACT-50;ACT-51;ACT-52;ACT-53","Complete pseudo-state reference matrix;later pointer-up cancellation keyboard focus contrast and idempotency tests","Destructive meaning;authorization;exact labels;retry policy remain gated per action"
"PRIM-016","Semantic text link","actions_input","interactive","visible link text;destination context;optional external or download cue only when approved","inline;standalone;breadcrumb;source;skip;canonical","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","current;visited_policy_pending;unavailable;held;offline","visible text plus shape icon border pattern or position;never color only","Underline or equivalent non-color affordance;wraps;focus visible;target exception documented for inline text;no direction-only label","all_public_route_families;J-01;J-02;J-03;J-04;J-05;DF-01","D-025;D-026;D-035;D-036;D-008","FR-001;SEO-001;SEO-005;SEO-007;UX-003","UXTEST-001;UXTEST-003;UXTEST-004;UXTEST-021;UXTEST-039","ACT-02;ACT-05;ACT-12;ACT-13;ACT-20","Reference states across light dark and forced colors;later canonical destination and accessible-name evidence","Final labels;destination activation;external-link policy remain gated"
"PRIM-017","Icon control","actions_input","interactive","icon;visible label when ambiguous;accessible name;state text;target area","labelled;compact_with_visible_text;universally_understood_icon_only_after_review","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","selected;expanded;muted;loading;error;unavailable","visible text plus shape icon border pattern or position;never color only","24-unit icon grid;24 by 24 target or exception;stroke survives forced colors;unavailable icon keeps text;no hover-only tooltip","DF-01;FV-01;RV-01;AF-02;BF-01","D-025;D-026;D-035;D-036;D-012","FR-012;FR-013;FR-014;UX-003;UX-007","UXTEST-005;UXTEST-006;UXTEST-021;UXTEST-024;UXTEST-039","ACT-03;ACT-07;ACT-09;ACT-10;ACT-11;ACT-12;ACT-19;ACT-40","Reference icon and text pairings;later name-in-label target and forced-colors evidence","Icon meaning;icon-only eligibility;final labels remain gated"
"PRIM-018","Form group","actions_input","composite_interactive","group heading or legend;description;required or optional text;field controls;group error;recovery","qualification;contact;consent;staff_editor;challenge;review","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;error;pending;success;offline;permission_denied;unavailable","visible text plus shape icon border pattern or position;never color only","One-column narrow layout;logical DOM order;labels never clipped;400% zoom;unavailable font;keyboard and screen reader group semantics","BF-01A;BF-01B;BF-01E;CF-01;PF-01","D-025;D-026;D-035;D-036;D-005;D-017","FR-004;FR-019;UX-001;UX-003;DATA-003;SEC-002","UXTEST-014;UXTEST-015;UXTEST-016;UXTEST-020;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-042;UXTEST-045","ACT-21;ACT-22;ACT-23;ACT-24;ACT-25;ACT-30;ACT-31;ACT-32;ACT-34","Reference anatomy and state matrix;later accessible relationships autocomplete redundant-entry and persistence tests","Exact copy;retention;provider;field limits;staff draft policy remain gated"
"PRIM-019","Text input and textarea","actions_input","interactive","visible label;required or optional text;control;description;counter only if approved;inline error","email;organization;role;desired_outcome;timing;optional_budget;contact_message;search;staff_text","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","empty;filled;invalid;valid;loading;pending;offline;read_only;permission_denied","visible text plus shape icon border pattern or position;never color only","Full-width narrow;zoom and text-spacing safe;native zoom;autofill visible;paste allowed;no placeholder-only label;forced-colors boundary","DF-01;AF-01;BF-01A;BF-01B;CF-01;PF-01","D-025;D-026;D-035;D-036;D-017","FR-004;FR-008;FR-019;UX-001;DATA-003;SEC-002","UXTEST-008;UXTEST-014;UXTEST-015;UXTEST-016;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-042;UXTEST-043;UXTEST-045","ACT-04;ACT-16;ACT-21;ACT-24;ACT-32;ACT-34","Reference for all named field roles and states;later keyboard screen-reader autocomplete paste and validation evidence","Exact field copy;length limits;retention;raw-query policy remain gated"
"PRIM-020","Select or combobox","actions_input","interactive","visible label;trigger or input;current value;list;option state;description;error","native_select;listbox_only_if_needed;timezone;wing;timing;bounded_staff_filter","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","expanded;collapsed;selected;empty;loading;error;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Prefer native semantics;options wrap;no viewport clipping;keyboard model documented;touch target minimum;forced-colors selected state","DF-01;BF-01A;BF-01C;SOF-01C","D-025;D-026;D-035;D-036","FR-004;FR-006;FR-014;UX-001;UX-003","UXTEST-008;UXTEST-014;UXTEST-017;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-039;UXTEST-042","ACT-04;ACT-21;ACT-26;ACT-27;ACT-43","Reference open closed selected invalid and unavailable states;later keyboard focus zoom and value evidence","Option sets;timezone source;staff filters;assignment policy remain gated"
"PRIM-021","Checkbox and consent control","actions_input","interactive","control;visible label;purpose summary;required or optional status;details link;validation","unchecked;checked;mixed_only_if_semantically_required;consent_declined;consent_granted","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","unchecked;checked;invalid;pending;success;error;stale;unavailable","visible text plus shape icon border pattern or position;never color only","Label target includes control and text;wraps at 320 CSS px;forced-colors check visible;never prechecked;no bundled purposes","AF-01;AF-02;BF-01A;CF-01","D-025;D-026;D-035;D-036;D-017","FR-004;AI-001;DATA-004;DATA-005;UX-001","UXTEST-009;UXTEST-014;UXTEST-015;UXTEST-021;UXTEST-022;UXTEST-039;UXTEST-042;UXTEST-045","ACT-15;ACT-18;ACT-19;ACT-21;ACT-32","Reference consent states and error association;later record-version and privacy behavior evidence","Exact consent wording;lawful basis;copy version;retention and revocation policy remain gated"
"PRIM-022","Field validation message","actions_input","status_announced","field identifier;plain problem;correction guidance;status semantics","error;warning;success;pending;information","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","not_applicable","error;pending;success;stale;unavailable","visible text plus shape icon border pattern or position;never color only","Wraps without overlap;placed adjacent and programmatically associated;forced colors preserves indicator;announcement deduplicated","BF-01A;BF-01B;CF-01;PF-01","D-025;D-026;D-035;D-036","FR-004;UX-001;UX-003;SEC-007","UXTEST-015;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-042","ACT-21;ACT-22;ACT-24;ACT-25;ACT-32;ACT-34;ACT-35","Reference error warning success states;later association announcement contrast and value-preservation evidence","Exact error text;validation limits;security disclosure policy remain gated"
"PRIM-023","Error summary","actions_input","composite_interactive","summary heading;error count if useful;linked error list;preservation statement;recovery","form;publication;booking;contact;staff","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","error;pending;permission_denied;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Receives focus after failed submit;links reflow;no sticky overlap;forced-colors boundary;screen reader announces once","BF-01A;BF-01B;CF-01;PF-01","D-025;D-026;D-035;D-036","FR-004;UX-001;UX-003;SEC-007","UXTEST-015;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024","ACT-21;ACT-22;ACT-24;ACT-25;ACT-32;ACT-35","Reference with multiple errors and focus map;later link-target association and announcement evidence","Exact messages;field policy;security detail remain gated"
"PRIM-024","Consent notice and purpose panel","actions_input","composite_interactive","purpose heading;data categories;retention choice;share scope;policy status;accept or decline;alternate path","AI_retention;handoff_share;booking;contact;media","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","not_asked;declined;granted;stale;mismatched;revoked_if_approved;pending;error;unavailable","visible text plus shape icon border pattern or position;never color only","No modal gate on public content;one-column reflow;details in reading order;keyboard and screen-reader complete;decline path remains usable","AF-01;AF-02;BF-01A;CF-01","D-025;D-026;D-035;D-036;D-017","FR-004;FR-008;FR-011;DATA-004;DATA-005;DATA-006;UX-001","UXTEST-009;UXTEST-013;UXTEST-014;UXTEST-015;UXTEST-021;UXTEST-022;UXTEST-030","ACT-15;ACT-18;ACT-19;ACT-21;ACT-32","Reference purpose variants and decline recovery;later legal text version and consent-record evidence","Exact legal and privacy copy;lawful basis;retention;revocation;controller remain gated"
"PRIM-025","AI entry and identity panel","ai_handoff","composite_interactive","visible AI identity;scope and limits;source policy summary;consent entry;composer entry;human Contact and Book","available;policy_unavailable;provider_unavailable;declined","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;ready;unavailable;error;offline;permission_denied","visible text plus shape icon border pattern or position;never color only","Semantic parity before enhancement;no avatar dependency;full AI label;reduced motion;no media requirement;usable at 320 CSS px and 400% zoom","J-05;AF-01","D-025;D-026;D-035;D-036;D-015;D-016;D-017","FR-008;AI-001;AI-003;AI-004;AI-009;DATA-003","UXTEST-009;UXTEST-010;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024","ACT-14;ACT-15","Reference ready and unavailable states;later source-policy identity and no-account tests","Exact AI wording;provider;availability;data route;operational claim remain gated"
"PRIM-026","AI transcript and composer","ai_handoff","composite_interactive","session status;ordered messages;AI and visitor labels;composer label;send;retry or resume;Book and human routes","ephemeral;consented;resuming;expired;refused;unavailable","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","connecting;typing;not_sent;unknown;pending;success;error;offline;expired;unavailable","visible text plus shape icon border pattern or position;never color only","Reading order preserved;new messages announced without focus theft;composer remains reachable;long text and sources wrap;reduced motion;no auto-scroll trap;any user time limit is removable or adjustable before it starts or warns with at least 20 seconds and permits a simple extension at least ten times or has a documented criterion-supported exception;preserve permitted data and last authoritative state;accessible reauthentication where applicable","J-05;AF-01;EXCL-CHAT-SESSIONS","D-025;D-026;D-035;D-036;D-015;D-017","FR-008;AI-001;AI-002;AI-003;DATA-004;DATA-007;UX-001","UXTEST-009;UXTEST-010;UXTEST-011;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-040","ACT-16;ACT-17","Reference transcript states including duplicate and interruption;later controlled-clock branch warning extension expiry focus status recovery one-message idempotency announcement and privacy evidence","Exact message copy;session retention;resume policy;provider behavior and exact durations remain gated"
"PRIM-027","AI citation and source list","ai_handoff","composite_interactive","source heading;ordered sources;title;type;evidence state;limitation;canonical link;release context","one_source;many_sources;source_unavailable;cannot_verify","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;empty;success;held;stale;error;unavailable","visible text plus shape icon border pattern or position;never color only","Sources follow answer in DOM;long titles wrap;no carousel-only order;forced-colors link and state;asset-free","J-04;J-05;AF-01","D-025;D-026;D-035;D-036;D-015;D-019","AI-001;AI-002;AI-003;PUB-004;UX-003","UXTEST-003;UXTEST-010;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-028","ACT-13;ACT-16","Reference with one many zero held and stale sources;later claim-to-source and checksum parity evidence","Source content;claim support;release activation remain gated"
"PRIM-028","AI refusal or cannot-verify block","ai_handoff","composite_interactive","status heading;plain refusal or uncertainty reason class;safe explanation;approved sources if any;human Contact and Book actions","cannot_verify;policy_refusal;sensitive_refusal;commitment_refusal;provider_unavailable","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","held;error;unavailable;offline;success_safe_route","visible text plus shape icon border pattern or position;never color only","No alarming animation;focus stays controlled;full status in text;forced colors and screen reader preserve distinction;works without AI continuation","J-05;AF-01;EXCL-DEFENSE","D-025;D-026;D-035;D-036;D-015;D-017","BR-004;BR-009;AI-003;AI-004;AI-006;AI-008;SEC-009","UXTEST-010;UXTEST-021;UXTEST-022;UXTEST-024;UXTEST-028","ACT-13;ACT-16;ACT-18;ACT-20","Reference for each refusal class and safe routes;later adversarial and source-leakage evidence","Exact refusal/legal copy;secure human route;defense scope;provider policy remain gated"
