"trace_id","source_id","source_type","source_artifact","contract_artifacts","contract_records","required_future_evidence","status_or_gate"
"TR-REQ-007","BR-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","J-04; CN-004 through CN-008","UXTEST-026 and claim scan","contracted_future_visual_evidence_required"
"TR-REQ-008","BR-008","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","Cross-links; Work/Demos","UXTEST-003 and UXTEST-026 distinguish collections","contracted_future_visual_evidence_required"
"TR-REQ-009","BR-009","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","EXCL-DEFENSE; AF-01","UXTEST-010 and route exclusion validation","contracted_future_visual_evidence_required"
"TR-REQ-010","BR-010","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","Responsive/localization architecture","Responsive review verifies English launch and localization readiness","contracted_future_visual_evidence_required"
"TR-REQ-011","BR-011","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","J-02; campus release sequence","UXTEST-038 verifies foundation prerequisite before wing ordinal 1","contracted_future_visual_evidence_required"
"TR-REQ-012","BR-012","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","Campus release sequence; wing states","UXTEST-038 rejects out-of-order open wing","contracted_future_visual_evidence_required"
"TR-REQ-013","FR-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","IA; service routes","UXTEST-001 through UXTEST-004","contracted_future_visual_evidence_required"
"TR-REQ-014","FR-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","J-02; DF-01","UXTEST-003 checksum parity","contracted_future_visual_evidence_required"
"TR-REQ-015","FR-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","J-02","UXTEST-005 and UXTEST-007","contracted_future_visual_evidence_required"
"TR-REQ-016","FR-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","BF-01A","UXTEST-014 UXTEST-015 and UXTEST-045 prove exact six data fields plus one consent record","contracted_future_visual_evidence_required"
"TR-REQ-017","FR-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","J-01; BF-01","UXTEST-004","contracted_future_visual_evidence_required"
"TR-REQ-018","FR-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","BF-01C","UXTEST-017","contracted_future_visual_evidence_required"
"TR-REQ-019","FR-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","BF-01D; ACT-28/29","UXTEST-018 and UXTEST-019","contracted_future_visual_evidence_required"
"TR-REQ-020","FR-008","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","AF-01","UXTEST-009","contracted_future_visual_evidence_required"
"TR-REQ-021","FR-009","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","AF-02","UXTEST-012","contracted_future_visual_evidence_required"
"TR-REQ-022","FR-010","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","AF-02; SOF-01; ACT-41 through ACT-53","UXTEST-012 and UXTEST-031 through UXTEST-037","contracted_future_visual_evidence_required"
"TR-REQ-023","FR-011","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","AF-02","UXTEST-013","contracted_future_visual_evidence_required"
"TR-REQ-024","FR-012","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","FV-01","UXTEST-005","contracted_future_visual_evidence_required"
"TR-REQ-025","FR-013","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","RV-01","UXTEST-006","contracted_future_visual_evidence_required"
"TR-REQ-026","FR-014","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","DF-01","UXTEST-008 and UXTEST-021","contracted_future_visual_evidence_required"
"TR-REQ-027","FR-015","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","Implementation boundary","No API change; later contract/deprecation tests","contracted_future_visual_evidence_required"
"TR-REQ-028","FR-016","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","AF/BF/PF/SOF flows; staff IA; dependency matrix","UXTEST-031 through UXTEST-037 plus later interface contracts map every named capability/failure","contracted_future_visual_evidence_required"
"TR-REQ-029","FR-017","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","All content families; CN rows","UXTEST-002 and prelaunch inventory review","contracted_future_visual_evidence_required"
"TR-REQ-030","FR-018","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","CN-006","Editorial operations later verify cadence without filler","contracted_future_visual_evidence_required"
"TR-REQ-031","FR-019","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv","BF-01B","UXTEST-016","contracted_future_visual_evidence_required"
"TR-REQ-032","SEO-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","J-01; parity invariant","UXTEST-001","contracted_future_visual_evidence_required"
"TR-REQ-033","SEO-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","All route paths","Route validator checks unique lowercase paths; host gate MA-008","contracted_future_visual_evidence_required"
"TR-REQ-034","SEO-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Nine exclusions","UXTEST-002 and exclusion validator","contracted_future_visual_evidence_required"
"TR-REQ-035","SEO-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","33 routes","UXTEST-002","contracted_future_visual_evidence_required"
"TR-REQ-036","SEO-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01","UXTEST-028 and UXTEST-029 plus later page validation","contracted_future_visual_evidence_required"
"TR-REQ-037","SEO-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Content components","Visible-evidence/schema parity later tested","contracted_future_visual_evidence_required"
"TR-REQ-038","SEO-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Every route representation; J-02","UXTEST-003","contracted_future_visual_evidence_required"
"TR-REQ-039","SEO-008","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","ACT-02; publication matrix","UXTEST-002 and UXTEST-029","contracted_future_visual_evidence_required"
"TR-REQ-040","SEO-009","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","CN-001; CN-013","Entity evidence review; MA-002/008/009","contracted_future_visual_evidence_required"
"TR-REQ-041","SEO-010","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Responsive/localization architecture","No hreflang or language selector invented","contracted_future_visual_evidence_required"
"TR-REQ-042","SEO-011","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01","UXTEST-027/028","contracted_future_visual_evidence_required"
"TR-REQ-043","SEO-012","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Scope; content gates","Content review; no growth tactic invented","contracted_future_visual_evidence_required"
"TR-REQ-044","SEO-013","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-route-coverage.csv;foundation-flow-coverage.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Out of UX scope; policy gate","No production crawler directive selected","contracted_future_visual_evidence_required"
"TR-REQ-045","PUB-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01","UXTEST-003/028/029","contracted_future_visual_evidence_required"
"TR-REQ-046","PUB-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01","UXTEST-027/029","contracted_future_visual_evidence_required"
"TR-REQ-047","PUB-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01","UXTEST-027","contracted_future_visual_evidence_required"
"TR-REQ-048","PUB-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01; EXCL-NONPUBLIC-PUBLICATION","UXTEST-028","contracted_future_visual_evidence_required"
"TR-REQ-049","PUB-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PF-01; ACT-38/39","UXTEST-029","contracted_future_visual_evidence_required"
"TR-REQ-050","PUB-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","CN-002 through CN-008","UXTEST-026 and publication validation","contracted_future_visual_evidence_required"
"TR-REQ-051","PUB-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","J-04; cross-links","UXTEST-003 and UXTEST-026","contracted_future_visual_evidence_required"
"TR-REQ-052","UX-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-route-coverage.csv;foundation-flow-coverage.csv;design-batch-plan.csv","Normative WCAG 2.2 Level AA target for every applicable full page and complete process including represented third-party steps; explicit no-current-conformance disclaimer; BP-NFR-006; TL-REMOVABLE-ADJUSTABLE;TL-WARN-EXTEND;TL-EXCEPTION;TL-NOT-APPLICABLE","Every B01-B09 gate receives independent design and accessibility review against the target; later implementation and assistive-technology evidence is required before any conformance claim","contracted_future_visual_evidence_required"
"TR-REQ-053","UX-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","J-01/J-02; 33 representations","UXTEST-003/004/007","contracted_future_visual_evidence_required"
"TR-REQ-054","UX-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","Accessibility; action contracts","UXTEST-021/022","contracted_future_visual_evidence_required"
"TR-REQ-055","UX-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","FV-01; accessibility","UXTEST-005/025","contracted_future_visual_evidence_required"
"TR-REQ-056","UX-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;foundation-route-coverage.csv;foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv;design-batch-plan.csv","BP-NFR-006;semantic Quick Access for clients below Safari/iOS 16.4 floor or otherwise unsupported","UXTEST-007;UXTEST-025;Safari/iOS 16.4 input layout virtual-keyboard safe-area evidence; unsupported-client semantic Quick Access recovery","contracted_future_visual_evidence_required"
"TR-REQ-057","UX-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","J-02","UXTEST-003/021","contracted_future_visual_evidence_required"
"TR-REQ-058","UX-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","FV-01; ACT-10","UXTEST-013/025","contracted_future_visual_evidence_required"
"TR-REQ-059","UX-008","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","Formal service and concise sign mappings","UXTEST-002/003/038","contracted_future_visual_evidence_required"
"TR-REQ-060","UX-009","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","Boundary; CN-012","Scope scan shows no GLB write/reuse","contracted_future_visual_evidence_required"
"TR-REQ-061","UX-010","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","CN-012","MA-004 and later 3D specification/approval","contracted_future_visual_evidence_required"
"TR-REQ-062","UX-011","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","reference-template-inventory.csv;responsive-state-mode-matrix.csv;foundation-flow-coverage.csv","Progressive enhancement boundary","UXTEST-001/003/007","contracted_future_visual_evidence_required"
"TR-REQ-063","AI-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01","UXTEST-010/011/028","contracted_future_visual_evidence_required"
"TR-REQ-064","AI-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01","UXTEST-010/022","contracted_future_visual_evidence_required"
"TR-REQ-065","AI-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01","UXTEST-010","contracted_future_visual_evidence_required"
"TR-REQ-066","AI-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01","UXTEST-010","contracted_future_visual_evidence_required"
"TR-REQ-067","AI-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AI dependency states","Provider policy tests later; no provider selected","contracted_future_visual_evidence_required"
"TR-REQ-068","AI-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01; AI dependency states","Data-policy route/refusal tests","contracted_future_visual_evidence_required"
"TR-REQ-069","AI-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","CN-010","MA-007 entitlement/policy evidence","contracted_future_visual_evidence_required"
"TR-REQ-070","AI-008","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01","UXTEST-010 adversarial cases","contracted_future_visual_evidence_required"
"TR-REQ-071","AI-009","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;responsive-state-mode-matrix.csv","AF-01","UXTEST-009/010 identifies AI","contracted_future_visual_evidence_required"
"TR-REQ-072","DATA-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","PostgreSQL/API state","Failure test rejects silent alternate truth","contracted_future_visual_evidence_required"
"TR-REQ-073","DATA-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Redis/search/publication states","Rebuild/degraded tests preserve durable truth","contracted_future_visual_evidence_required"
"TR-REQ-074","DATA-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Journey invariants; AF/BF","UXTEST-009/014 find no account/upload","contracted_future_visual_evidence_required"
"TR-REQ-075","DATA-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","AF-01","UXTEST-009","contracted_future_visual_evidence_required"
"TR-REQ-076","DATA-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","CN-015","Clock tests only after record-class matrix","contracted_future_visual_evidence_required"
"TR-REQ-077","DATA-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Retention state; CN-015","UXTEST-030 keeps unmapped deletion pending","contracted_future_visual_evidence_required"
"TR-REQ-078","DATA-007","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","AF-01","Provider/config audit and UXTEST-009","contracted_future_visual_evidence_required"
"TR-REQ-079","DATA-008","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","Minimal envelope","UXTEST-030 payload inspection","contracted_future_visual_evidence_required"
"TR-REQ-080","DATA-009","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","CN-015; human gates","MA-002/011 matrix approval required","contracted_future_visual_evidence_required"
"TR-REQ-081","DATA-010","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","foundation-flow-coverage.csv;reference-template-inventory.csv;UI_REFERENCE_DESIGN_CONTRACT.md","AF/BF/PF; action matrix","UXTEST-018/019/029","contracted_future_visual_evidence_required"
"TR-REQ-082","SEC-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","UI_REFERENCE_DESIGN_CONTRACT.md;foundation-flow-coverage.csv;reference-template-inventory.csv","PF-01 staff branches","UXTEST-027","contracted_future_visual_evidence_required"
"TR-REQ-083","SEC-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","UI_REFERENCE_DESIGN_CONTRACT.md;foundation-flow-coverage.csv;reference-template-inventory.csv","PF-01 staff branches","Negative server authorization tests","contracted_future_visual_evidence_required"
"TR-REQ-084","SEC-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","UI_REFERENCE_DESIGN_CONTRACT.md;foundation-flow-coverage.csv;reference-template-inventory.csv","Staff session branch","Later security specification; no credential value","contracted_future_visual_evidence_required"
"TR-REQ-085","SEC-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","UI_REFERENCE_DESIGN_CONTRACT.md;foundation-flow-coverage.csv;reference-template-inventory.csv","Staff auth/session state","Clock-controlled session tests later","contracted_future_visual_evidence_required"
"TR-REQ-086","SEC-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","UI_REFERENCE_DESIGN_CONTRACT.md;foundation-flow-coverage.csv;reference-template-inventory.csv","Staff branches; ACT-33","CSRF/logout negative tests later","contracted_future_visual_evidence_required"
